lag,rho_abs_r,rho_abs_e,beta_1_used
1,0.42371454406001813,0.4233888701249585,0.005915184560903213
5,0.38914085888472,0.38910545608016894,0.005915184560903213
20,0.3492481011537035,0.3495122403959029,0.005915184560903213
60,0.31138334317230115,0.3116980497427998,0.005915184560903213
