series,scope,scope_value,n,mean,std,skewness,kurtosis_excess,kurtosis_excess_trimmed,min,max,q0.001,q0.01,q0.05,q0.25,q0.5,q0.75,q0.95,q0.99,q0.999,hac_se,hac_l,hac_ci_lo,hac_ci_hi,boot_mean_ci_lo,boot_mean_ci_hi,threshold_v,diff_0_1pct,diff_0_1pct_ci_lo,diff_0_1pct_ci_hi,diff_1pct,diff_1pct_ci_lo,diff_1pct_ci_hi,freq_left,freq_right,freq_diff,freq_diff_ci_lo,freq_diff_ci_hi,mean_ticks,hac_ci_lo_ticks,hac_ci_hi_ticks
r_1m,GLOBAL,GLOBAL,1914530,6.211672350043219e-07,0.0004191587723174421,-0.2090968692340692,111.55600433248864,11.491079308573783,-0.030979850962524223,0.025631378887479704,-0.0027469778229836078,-0.001230809173638682,-0.0005528770913682167,-0.00012803625383478134,0.0,0.0001322746950559521,0.0005440400547657413,0.0011942144900794465,0.002785878709065153,3.024239750061854e-07,35,2.8416243992198475e-08,1.2139182260164453e-06,3.646410642341855e-09,1.3085710136061074e-06,0.0015898021613362056,3.8900886081545075e-05,-2.6174430809463733e-05,0.00011521790142558827,-3.659468355923551e-05,-4.5388078675054034e-05,-2.743745500695951e-05,0.00512397298553692,0.004876392639446757,-0.0002475803460901633,-0.0003798254780706211,-0.00010121194191304977,0.03569320107313938,0.0016328400041091542,0.0697535621421696
r_1m,YEAR,2019,7406,5.636053715208004e-07,0.00013096114249852816,0.9183960338002577,33.103376410284724,10.68103294340183,-0.0012638595351558426,0.0025250364912320937,-0.0008015188759197264,-0.00040147629161319464,-0.00017172418300183786,-5.671265122407731e-05,0.0,5.680123831664732e-05,0.00017184468361258615,0.00037163403636484123,0.0008785461815994157,1.5962854431625754e-06,10,-2.5651140970778474e-06,3.6923248401194483e-06,-2.6833477938008047e-06,3.880977304014926e-06,0.0005149514888577883,7.702730567968937e-05,-0.00016786864921786886,0.0005446693217992673,-2.984225524835341e-05,-9.23888885800389e-05,2.8500917473546044e-05,0.00594112881447475,0.00418579530110721,-0.0017553335133675399,-0.004057409221565074,0.0004887047045051874,0.01970223477358717,-0.08966997604244913,0.12907444558962347
r_1m,YEAR,2020,342648,2.1452215696421713e-06,0.0005684419893806985,0.34656349078359405,44.36892468153314,12.706382826236513,-0.016921093992375038,0.022272886479612546,-0.003828203963710119,-0.0017093262852638691,-0.000741515076975893,-0.00016505111464748838,0.0,0.000173512268337416,0.0007346390755461022,0.001674224817570242,0.00397309207995385,9.690834499246957e-07,24,2.4581800778976784e-07,4.044625131494575e-06,3.847388609154577e-07,4.009403203264032e-06,0.002231791971559145,0.00014488811624373092,-2.5115198890645902e-05,0.00032771157385038204,-3.5101467693627155e-05,-6.610511280083744e-05,-1.2022542182188345e-07,0.005037239382690108,0.004964278209707922,-7.296117298218573e-05,-0.00037567003510590916,0.0002360670180983922,0.08883040736215511,0.010178954975061535,0.1674818597492487
r_1m,YEAR,2021,349039,5.939736398511963e-07,0.0003030771641409218,-0.2558612869741185,24.022583472900223,8.75258381409433,-0.010720408748997821,0.0070524046156391915,-0.0019036641723233778,-0.0009229799486529303,-0.00042441117030108424,-0.00010581450726767803,0.0,0.00010967918848400597,0.0004218699196408692,0.0008873422255439968,0.0018728399682682566,5.109460483362293e-07,24,-4.0748061488781324e-07,1.5954278945902058e-06,-4.2773258230866005e-07,1.4644030317613295e-06,0.0011751087927693378,-3.082420405512115e-05,-0.00010829753829925581,5.1007485055300926e-05,-3.563772310893345e-05,-5.2719914010311266e-05,-1.8243785649256926e-05,0.005280212239892963,0.004721535415813133,-0.0005586768240798306,-0.0008775141913997151,-0.00024256444082826318,0.03459094587628474,-0.02373024482829023,0.0929121365808597
r_1m,YEAR,2022,349996,-1.1155376989479077e-06,0.0005213804657453856,-1.2169248242533548,130.76252311280814,6.906982050777355,-0.030979850962524223,0.025631378887479704,-0.0029420805139936377,-0.0014782337583357167,-0.0007390815143197584,-0.00019480335071924492,0.0,0.00019418627920897362,0.0007279891645369536,0.0014793061415191453,0.003052382433101107,8.840337759059365e-07,24,-2.8482438997235434e-06,6.171685018277278e-07,-2.9442096419382294e-06,6.034776018678872e-07,0.001882051349520998,0.0001103019191074691,6.1745699230393536e-06,0.00019976491009829727,1.072383183428529e-06,-2.3131556206659028e-05,3.083801418187839e-05,0.004857198367981349,0.0051429159190390745,0.00028571755105772593,-1.1451106291067437e-05,0.0005649467506811962,-0.055534255496308554,-0.14179270193398977,0.03072419094137266
r_1m,YEAR,2023,349636,1.2133269488990245e-06,0.0003054420185140121,-0.1786862246557207,53.795167913597034,7.876129428476881,-0.015036562700315623,0.009816427335952345,-0.0018297102288694139,-0.0009016279235962785,-0.0004292122713946178,-0.00010823194118170506,0.0,0.00011289912878606744,0.00043084297789157004,0.0008756592201691622,0.00182732334427447,5.06905088942118e-07,24,2.1979297457247328e-07,2.2068609232255757e-06,2.386431232685987e-07,2.242852587901401e-06,0.0011347107318570183,-2.386884594943791e-06,-5.42863545963899e-05,8.757132455062224e-05,-2.596870342711627e-05,-3.9350731836777615e-05,-1.0580828817558954e-05,0.005219714217071469,0.00478211625805123,-0.00043759795902023873,-0.0007214259306601324,-0.00014463281336354842,0.0718902283841987,0.013022843639626825,0.1307576131287706
r_1m,YEAR,2024,352261,3.645458210969656e-07,0.00028162703976032514,-0.31643954938560165,54.18265280512187,8.447466411629483,-0.014033639941070214,0.009199082343268414,-0.0017996217463834528,-0.0008506146642306525,-0.00039467193408204547,-9.692857583161685e-05,0.0,0.00010205253162918752,0.00038778136667701624,0.0007954089904970731,0.0016147769504183584,4.708683865484565e-07,24,-5.583562165380091e-07,1.2874478587319404e-06,-5.248936864390802e-07,1.455753342017636e-06,0.0010496814301218722,-0.00018484479596509438,-0.0002386277713171352,-7.888807767703896e-05,-5.520567373357946e-05,-6.822839831400084e-05,-4.336397682122302e-05,0.005589605434606727,0.004411501699024303,-0.0011781037355824238,-0.0015041581490380978,-0.0009193056858283276,0.027835442988097685,-0.042634126447329744,0.09830501242352513
r_1m,YEAR,2025,163544,4.921554766108422e-07,0.0004805263087909979,0.8698393711802747,138.7665219751117,13.098322493149986,-0.017718340409624653,0.024732306971497725,-0.003097822813622542,-0.0013711997160134692,-0.0006056217857686018,-0.00013944084250511836,0.0,0.0001456408697382191,0.0005891288256939968,0.001315074202874235,0.003329187356898874,1.193720561059934e-06,20,-1.8475368230666282e-06,2.8318477762883125e-06,-1.9994716383157e-06,2.8828256479139453e-06,0.0017839848194280278,0.0002313645432763323,-0.00015244030874189392,0.0007227777107041831,-5.61255131392342e-05,-9.557209844986649e-05,-1.5785916000970107e-06,0.005087315951670499,0.004916108203296972,-0.00017120774837352682,-0.0007726766886877117,0.00044707186361757915,0.04178129310849093,-0.1568457148233965,0.2404083010403783
r_1m,SEGMENT,00:00-02:00,168922,1.253153906721527e-06,0.00023431579189092737,0.4129196705650321,99.54740456668567,16.55235250449863,-0.008095838808624542,0.008355407122298042,-0.0016161694857337934,-0.000621513792162037,-0.00027633047561365375,-7.517478140212711e-05,0.0,7.707611752202169e-05,0.0002801853437756995,0.0006275437899676266,0.0017509225092494545,5.608350595175448e-07,20,1.5391719006713923e-07,2.352390623375915e-06,8.413107193730122e-08,2.4484087681136614e-06,0.0008422420139987018,0.00013475302351566103,-5.4892946333772706e-05,0.00029893301490877455,6.029997805589624e-06,-1.3816408433124366e-05,2.6095107441239892e-05,0.004836551781295509,0.005168065734481003,0.00033151395318549437,-0.00019668013412163328,0.0008917747362921712,0.07184519320123689,0.008824303382092434,0.13486608302038133
r_1m,SEGMENT,02:00-03:00,84663,1.617853992183222e-06,0.0002862084841534434,0.6080581418787508,30.209066095360278,10.504296213091767,-0.005487765111232469,0.006426942284597763,-0.0017675332040528017,-0.0007902684091646685,-0.0003850162717196167,-0.00010800885683122536,0.0,0.00011015873360145645,0.00038718756785343733,0.0008072757335283637,0.0020060081744255535,9.540815134355654e-07,17,-2.521457741504859e-07,3.48785375851693e-06,-3.8766962506160226e-07,3.5024711814640926e-06,0.0010653374493424048,0.0002384749703727518,2.8847577818664176e-05,0.0004970463980931185,1.7007324363695173e-05,-1.4450389210105555e-05,4.56373033751706e-05,0.004901787085267472,0.00510258318273626,0.00020079609746878786,-0.0003777519593488938,0.0008915057776558825,0.09272811048682443,-0.01445186111798662,0.1999080820916355
