year_ny,n,zero_fraction,sigma_delta_close_points,tick_to_sigma_points,sigma_r_1m,tick_return_representative,tick_to_sigma_return,close_representative,median_range_points,tick_to_median_range,median_abs_ticks,prop_0_ticks,prop_abs_1_tick,prop_abs_le_2_ticks,prop_abs_le_5_ticks,n_distinct_r1m_central,n_distinct_ticks_central
2019,7406,0.18498514717796383,1.1456959419352148,0.218207982457999,0.00013096114249852816,2.8606164630439296e-05,0.21843246084051834,8739.25,0.75,0.3333333333333333,2.0,0.18498514717796383,0.28422900351066704,0.656224682689711,0.880232244126384,2336,11
2020,342648,0.047121243958814875,5.147006772766516,0.04857191976563594,0.0005684419893806985,2.414963111557351e-05,0.04248389733116628,10352.0,4.25,0.058823529411764705,7.0,0.047121243958814875,0.08887546403306017,0.2185829189138708,0.42219420513179706,81376,11
2021,349039,0.05049005985004541,4.273783235938448,0.058496181532497485,0.0003030771641409218,1.7171361603569782e-05,0.05665673180043883,14559.0,3.75,0.06666666666666667,6.0,0.05049005985004541,0.0976108686994863,0.23881571973332494,0.4605903638275379,81215,11
2022,349996,0.03150321717962491,6.616076553384844,0.03778674535924131,0.0005213804657453856,2.0087380104016326e-05,0.03852729709637018,12445.5,6.0,0.041666666666666664,10.0,0.03150321717962491,0.06261500131430074,0.15417033337523858,0.3161893278780329,71376,11
2023,349636,0.04928554267867153,4.189355706081381,0.05967504731982851,0.0003054420185140121,1.687749470504827e-05,0.055255968995876766,14812.5,3.75,0.06666666666666667,6.0,0.04928554267867153,0.09571096797812582,0.23539910077909598,0.4581850839158439,87572,11
2024,352261,0.04121659792029206,5.378933974115627,0.046477610843160336,0.00028162703976032514,1.3096461991025032e-05,0.046502857119723295,19089.0,4.75,0.05263157894736842,8.0,0.04121659792029206,0.08000601826486611,0.19799807529076452,0.39252713187097066,83827,11
2025,163544,0.026194785501149537,9.269348797290203,0.026970610931491206,0.0004805263087909979,1.1779326104936298e-05,0.024513384365099658,21223.5,7.5,0.03333333333333333,12.0,0.026194785501149537,0.05152741769798953,0.12874211221444992,0.27111358411192094,31961,11
