source_file,timestamp_utc,timestamp_ny,reason
01_mnq_06_20.Last.txt,2020-06-10 20:16:00+00:00,2020-06-10 16:16:00-04:00,SECONDARY_BREAK_WINDOW
01_mnq_06_20.Last.txt,2020-06-13 19:38:00+00:00,2020-06-13 15:38:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-06-22 20:16:00+00:00,2020-06-22 16:16:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-06-28 03:01:00+00:00,2020-06-27 23:01:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-06-28 05:09:00+00:00,2020-06-28 01:09:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-06-28 16:03:00+00:00,2020-06-28 12:03:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-06-28 16:16:00+00:00,2020-06-28 12:16:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-07-11 17:19:00+00:00,2020-07-11 13:19:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-07-18 19:45:00+00:00,2020-07-18 15:45:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-07-25 22:30:00+00:00,2020-07-25 18:30:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-01 16:12:00+00:00,2020-08-01 12:12:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-09 14:56:00+00:00,2020-08-09 10:56:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-16 14:06:00+00:00,2020-08-16 10:06:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-17 21:01:00+00:00,2020-08-17 17:01:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-22 21:26:00+00:00,2020-08-22 17:26:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-23 04:09:00+00:00,2020-08-23 00:09:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-30 16:04:00+00:00,2020-08-30 12:04:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-30 19:09:00+00:00,2020-08-30 15:09:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-08-30 20:58:00+00:00,2020-08-30 16:58:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-02 20:16:00+00:00,2020-09-02 16:16:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:22:00+00:00,2020-09-10 16:22:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:23:00+00:00,2020-09-10 16:23:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:24:00+00:00,2020-09-10 16:24:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:25:00+00:00,2020-09-10 16:25:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:26:00+00:00,2020-09-10 16:26:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:27:00+00:00,2020-09-10 16:27:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:28:00+00:00,2020-09-10 16:28:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:29:00+00:00,2020-09-10 16:29:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 20:30:00+00:00,2020-09-10 16:30:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-10 21:52:00+00:00,2020-09-10 17:52:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 21:53:00+00:00,2020-09-10 17:53:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 21:54:00+00:00,2020-09-10 17:54:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 21:55:00+00:00,2020-09-10 17:55:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 21:56:00+00:00,2020-09-10 17:56:00-04:00,NO_SESSION
