h_minutes,n,n_trading_dates,n_pairs_lag1,rho_1,beta_1,rho_ci_lo,rho_ci_hi,beta_ci_lo,beta_ci_hi,signo,rho_ci_excludes_zero,beta_ci_excludes_zero
1,1914530,1420,1911434,0.005921100675958302,0.005915184560903213,-0.0002835406201457725,0.01217675141043966,-0.00028306542076533445,0.0121739233736208,positivo,False,False
5,381031,1420,378475,-0.011059690988535265,-0.011042494197866048,-0.020217402613707552,-0.0017773664090327838,-0.020144130218303833,-0.0017762861936987781,negativo,True,True
10,189581,1420,187249,0.011493570259650941,0.011435410961529016,-0.0017257502529938401,0.02470657738223252,-0.0017048564987272522,0.02455378314303649,positivo,False,False
30,61971,1418,60282,0.0010434856931477593,0.001059261104043766,-0.019534553711239036,0.022315743791993466,-0.0197860942857953,0.022473988069434066,positivo,False,False
60,30386,1418,28815,-0.0063997383743274105,-0.006616994527131638,-0.03251377181986715,0.02040215944308629,-0.03372988213561739,0.0210394194426255,negativo,False,False
