out_file,in_file,last_out_ts,last_out_close,first_in_ts,first_in_close,distance_minutes,apparent_diff_points,apparent_diff_pct,confidence,note
00_mnq_03_20.Last.txt,01_mnq_06_20.Last.txt,2020-03-20 13:30:00,7451.0,2020-03-23 03:01:00,6737.5,3691.0,-713.5,-9.575895852905651,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
01_mnq_06_20.Last.txt,02_mnq_09_20.Last.txt,2020-06-19 13:30:00,10130.0,2020-06-22 03:01:00,9968.75,3691.0,-161.25,-1.5918065153010859,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
02_mnq_09_20.Last.txt,03_mnq_12_20.Last.txt,2020-09-18 13:30:00,11121.75,2020-09-21 03:01:00,10932.75,3691.0,-189.0,-1.6993728504956505,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
03_mnq_12_20.Last.txt,04_mnq_03_21.Last.txt,2020-12-18 03:00:00,12723.75,2020-12-21 03:01:00,12747.5,4321.0,23.75,0.18665880734846252,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
04_mnq_03_21.Last.txt,05_mnq_06_21.Last.txt,2021-03-19 13:30:00,12781.0,2021-03-22 03:01:00,12910.5,3691.0,129.5,1.0132227525232766,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
05_mnq_06_21.Last.txt,06_mnq_09_21.Last.txt,2021-06-18 13:30:00,14116.75,2021-06-21 03:01:00,14007.0,3691.0,-109.75,-0.7774452334992119,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
06_mnq_09_21.Last.txt,07_mnq_12_21.Last.txt,2021-09-17 13:30:00,15524.0,2021-09-20 03:01:00,15214.75,3691.0,-309.25,-1.9920767843339346,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
07_mnq_12_21.Last.txt,08_mnq_03_22.Last.txt,2021-12-17 14:30:00,15712.0,2021-12-20 03:01:00,15609.5,3631.0,-102.5,-0.652367617107943,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
08_mnq_03_22.Last.txt,09_mnq_06_22.Last.txt,2022-03-18 13:30:00,14070.0,2022-03-21 03:01:00,14363.0,3691.0,293.0,2.082444918265814,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
09_mnq_06_22.Last.txt,10_mnq_09_22.Last.txt,2022-06-17 13:30:00,11134.5,2022-06-20 03:01:00,11360.75,3691.0,226.25,2.0319726974718217,BAJA,"sin barras simultaneas de ambos contratos: la diferencia observada NO puede atribuirse integramente a basis de roll -- puede incluir movimiento genuino de mercado durante el intervalo. Solo descriptiva, no se usa para ajustar nada."
