h_minutes,n,n_pairs_lag1,rho_1,beta_1,rho_ci_lo,rho_ci_hi
1,1914530,1911434,0.005921100675958302,0.005915184560903213,-0.0002835406201457725,0.01217675141043966
5,381031,378475,-0.011059690988535265,-0.011042494197866048,-0.020217402613707552,-0.0017773664090327838
10,189581,187249,0.011493570259650941,0.011435410961529016,-0.0017257502529938401,0.02470657738223252
