year_ny,hour_ny,n,zero_fraction,sigma_delta_close_points,tick_to_sigma_points,sigma_r_1m,tick_return_representative,tick_to_sigma_return,close_representative,median_range_points,tick_to_median_range,median_abs_ticks,prop_0_ticks,prop_abs_1_tick,prop_abs_le_2_ticks,prop_abs_le_5_ticks,n_distinct_r1m_central,n_distinct_ticks_central
2019,0,317,0.30914826498422715,0.35901713540992597,0.6963455928490707,4.091200020186868e-05,2.858327021393577e-05,0.6986524753837436,8746.25,0.25,1.0,1.0,0.30914826498422715,0.4195583596214511,0.9274447949526814,1.0,152,11
2019,1,316,0.31329113924050633,0.473745607412349,0.5277093783845885,5.393633532967702e-05,2.8609029011606214e-05,0.5304221882472773,8738.375,0.25,1.0,1.0,0.31329113924050633,0.37658227848101267,0.8607594936708861,0.9841772151898734,166,11
2019,2,347,0.2132564841498559,0.5879028473807455,0.42524032859138655,6.707806981188067e-05,2.8602073652219443e-05,0.42639977167550414,8740.5,0.5,0.5,1.0,0.2132564841498559,0.3400576368876081,0.760806916426513,0.9740634005763689,217,10
2019,3,349,0.1977077363896848,0.7140367924605748,0.3501220142151199,8.133979900357591e-05,2.8611075349223186e-05,0.35174755408438335,8737.75,0.75,0.3333333333333333,1.0,0.1977077363896848,0.33810888252148996,0.7421203438395415,0.9340974212034384,210,11
2019,4,340,0.22941176470588234,0.6032417738259709,0.4144275327857557,6.880178598054715e-05,2.8604118995119272e-05,0.4157467511556565,8739.875,0.5,0.5,1.0,0.22941176470588234,0.31470588235294117,0.7441176470588236,0.9676470588235294,206,11
2019,5,343,0.21865889212827988,0.6257495122239318,0.39952088673867725,7.128690465277139e-05,2.860125559712368e-05,0.4012133187215299,8740.75,0.5,0.5,1.0,0.21865889212827988,0.3294460641399417,0.7755102040816326,0.9708454810495627,201,11
2019,6,343,0.2099125364431487,0.7720241597632456,0.32382406280739556,8.809094250612759e-05,2.8603709903181216e-05,0.32470659399735163,8740.0,0.5,0.5,1.0,0.2099125364431487,0.3236151603498542,0.7113702623906706,0.9446064139941691,215,11
2019,7,354,0.19491525423728814,0.9852784455061496,0.25373537921208855,0.00011268638112086685,2.861435009858578e-05,0.25392908898098493,8736.75,0.75,0.3333333333333333,2.0,0.19491525423728814,0.2711864406779661,0.652542372881356,0.903954802259887,215,11
2019,8,354,0.1497175141242938,1.051573185790786,0.23773904030464538,0.0001201907953729705,2.860575547988398e-05,0.23800288026313435,8739.375,1.0,0.25,2.0,0.1497175141242938,0.23163841807909605,0.5903954802259888,0.867231638418079,232,11
2019,9,360,0.075,2.791686154812173,0.08955161366153647,0.00031943194487474676,2.861271263020568e-05,0.0895737357809504,8737.25,2.25,0.1111111111111111,4.0,0.075,0.175,0.38055555555555554,0.6083333333333333,185,11
2019,10,360,0.075,2.143330149266022,0.11664091977878997,0.000245387037494235,2.8652884631202445e-05,0.11676608888468937,8725.0,2.5,0.1,5.0,0.075,0.1111111111111111,0.3055555555555556,0.5833333333333334,167,11
2019,11,360,0.10833333333333334,1.3829189048755122,0.18077704999087024,0.00015824485834649283,2.8628276150213442e-05,0.18091125644998202,8732.5,1.5,0.16666666666666666,3.0,0.10833333333333334,0.14166666666666666,0.4111111111111111,0.725,202,11
2019,12,360,0.11388888888888889,1.1434383470401428,0.21863881043270908,0.0001304844976896565,2.861516890304993e-05,0.21929937586231943,8736.5,1.25,0.2,2.0,0.11388888888888889,0.2222222222222222,0.5138888888888888,0.8416666666666667,238,11
2019,13,301,0.14950166112956811,1.068392801498856,0.23399633510191495,0.00012189891877803303,2.858327021393577e-05,0.23448337770725708,8746.25,1.25,0.2,2.0,0.14950166112956811,0.21262458471760798,0.5514950166112956,0.8073089700996677,178,11
2019,14,300,0.10666666666666667,1.0157137052849485,0.24613234880971202,0.00011605376815539888,2.861926362833372e-05,0.24660348460217005,8735.25,1.0,0.25,2.0,0.10666666666666667,0.27666666666666667,0.5666666666666667,0.8633333333333333,200,11
2019,15,300,0.07666666666666666,1.6196300949198623,0.1543562328115234,0.00018502777500475123,2.8605346341096523e-05,0.15460028279733667,8739.5,1.75,0.14285714285714285,4.0,0.07666666666666666,0.12333333333333334,0.38333333333333336,0.68,173,11
2019,16,220,0.1318181818181818,1.4780157868749428,0.16914568993108656,0.00016877097351625957,2.851561943236834e-05,0.16896044881569114,8767.0,1.0,0.25,2.0,0.1318181818181818,0.2409090909090909,0.5545454545454546,0.8272727272727273,145,11
2019,17,5,0.4,0.37080992435478316,0.674199862463242,4.2196022592197624e-05,2.8500990411317505e-05,0.6754425810879048,8771.5,1.75,0.14285714285714285,1.0,0.4,0.2,1.0,1.0,4,4
2019,18,273,0.20512820512820512,0.5593797378548877,0.4469235888999149,6.384315951451757e-05,2.862090184652626e-05,0.4483002104558756,8734.75,0.5,0.5,1.0,0.20512820512820512,0.34798534798534797,0.7509157509157509,0.9706959706959707,175,11
2019,19,298,0.17114093959731544,0.7578053682276299,0.3299000119050422,8.639316849250175e-05,2.8611075349223186e-05,0.3311728907327482,8737.75,0.75,0.3333333333333333,2.0,0.17114093959731544,0.2483221476510067,0.6140939597315436,0.9261744966442953,197,11
2019,20,287,0.18118466898954705,0.6149669224310489,0.4065259299015882,7.01198351280682e-05,2.858327021393577e-05,0.40763458958126103,8746.25,0.75,0.3333333333333333,1.0,0.18118466898954705,0.3240418118466899,0.710801393728223,0.9686411149825784,195,11
2019,21,289,0.20069204152249134,0.4933751083110712,0.5067138487302362,5.620226365302791e-05,2.8577552334651453e-05,0.5084768918041939,8748.0,0.5,0.5,1.0,0.20069204152249134,0.40484429065743943,0.8512110726643599,0.9826989619377162,162,10
2019,22,333,0.3063063063063063,0.4760633096858504,0.5251402385219995,5.430865685332283e-05,2.8584904314043705e-05,0.5263415810714303,8745.75,0.25,1.0,1.0,0.3063063063063063,0.38738738738738737,0.8918918918918919,0.984984984984985,177,11
2019,23,297,0.3333333333333333,0.34685620894576713,0.7207597660132671,3.9519635337342394e-05,2.8579185780866062e-05,0.7231642077896752,8747.5,0.25,1.0,1.0,0.3333333333333333,0.43097643097643096,0.9259259259259259,1.0,142,10
2020,0,15194,0.07272607608266421,3.204902617781297,0.07800549028009812,0.00036311021976570795,2.3871475974512593e-05,0.06574168028075703,10472.625,2.5,0.1,4.0,0.07272607608266421,0.1393313149927603,0.32907726734237197,0.5865473213110438,7208,11
2020,1,15163,0.06100375915056387,3.7723922583103136,0.06627094503475021,0.00043421234286949176,2.3860369121032834e-05,0.05495092323574133,10477.5,3.0,0.08333333333333333,5.0,0.06100375915056387,0.11429136714370507,0.2814086922113038,0.5352502802875421,6740,11
2020,2,15237,0.051191179366016935,4.025786104258842,0.06209967284042422,0.0004422198581493644,2.407115433347652e-05,0.0544325495336445,10385.75,3.5,0.07142857142857142,6.0,0.051191179366016935,0.09857583513815056,0.23777646518343507,0.45717660956881273,5848,11
2020,3,15212,0.03950828293452537,4.554313302872472,0.054893017536215914,0.0004941813028573305,2.4039617290417876e-05,0.04864533957764502,10399.375,4.75,0.05263157894736842,8.0,0.03950828293452537,0.07250854588482777,0.18643176439652906,0.3836444911911649,5037,11
2020,4,15218,0.04415823367065318,4.32844942051629,0.057757403566975354,0.00047791903543095867,2.4083328317054915e-05,0.0503920675503917,10380.5,4.0,0.0625,7.0,0.04415823367065318,0.08568800105138652,0.21356288605598633,0.4285057169141806,5562,11
2020,5,15140,0.0523778071334214,3.7866911085257944,0.06602070061566973,0.00041878549826383283,2.4231850345327747e-05,0.05786220020938213,10316.875,3.5,0.07142857142857142,6.0,0.0523778071334214,0.10435931307793923,0.2534346103038309,0.47787318361955083,6083,11
2020,6,14928,0.05794480171489818,3.87592234224122,0.06450077631210732,0.00041596407805593623,2.4260656494452094e-05,0.05832392212288503,10304.625,3.5,0.07142857142857142,6.0,0.05794480171489818,0.10195605573419078,0.25395230439442656,0.47601822079314043,5902,11
2020,7,15170,0.054449571522742254,4.221639140877741,0.059218704313041146,0.0004539265879489767,2.414759007179014e-05,0.053197126391954,10352.875,3.5,0.07142857142857142,6.0,0.054449571522742254,0.099340804218853,0.24686882003955174,0.4734344100197759,6044,11
2020,8,15140,0.04722589167767503,4.832239694579351,0.05173584420500536,0.0005530284015914955,2.411091018799215e-05,0.043597960102241026,10368.625,4.25,0.058823529411764705,7.0,0.04722589167767503,0.08256274768824307,0.2117569352708058,0.4135402906208719,5342,11
