m,Q_raw,Q_adjusted,fraction_removed,fraction_survives,variable
240,31393915.78687567,31798909.12151593,-0.01290037653759546,1.0129003765375955,abs_r
240,102840665.41692507,112299900.30428472,-0.09197951850088759,1.0919795185008876,log_hl
