h,n,var,vr,log_h,log_var
1,1914530,1.7569407641066523e-07,0.9999999999999999,0.0,-15.55452155654671
2,1911434,3.5295486349154487e-07,1.0044586325908686,0.6931471805599453,-14.856925653651645
5,1903157,8.745889105725178e-07,0.9955815568058926,1.6094379124341003,-13.949511877475693
10,1890880,1.7348490511134129e-06,0.9874260342496677,2.302585092994046,-13.264590150590474
15,1879471,2.5956526943330327e-06,0.9849137574283703,2.70805020110221,-12.861672552998074
30,1847740,5.1953142317810945e-06,0.9856743300473467,3.4011973816621555,-12.167753447892784
60,1799414,1.0388121274068478e-05,0.9854364933916351,4.0943445622221,-11.474847589793288
