h,n,var,vr,log_h,log_var
1,1914530,1.7569407641066523e-07,1.0,0.0,-15.55452155654671
2,956192,3.5307230161984543e-07,1.0047928445651704,0.6931471805599453,-14.85659298053314
5,381031,8.754278384906165e-07,0.9965365439463103,1.6094379124341003,-13.94855311181495
10,189581,1.7334889774270106e-06,0.9866519195417688,2.302585092994046,-13.265374430406872
15,125593,2.651676222971698e-06,1.006171741678872,2.70805020110221,-12.840318580962881
30,61971,5.253539422163772e-06,0.9967210296235243,3.4011973816621555,-12.156608532864814
60,30386,1.0411767188287715e-05,0.9876795887672554,4.0943445622221,-11.472573931023575
