config,bloque,dist,n,omega,alpha,alpha_ci_lo,alpha_ci_hi,beta,beta_ci_lo,beta_ci_hi,gamma,persistence,stationary,half_life,convergence_flag,eps_selected,n_multistart_attempts_finite,converged_cleanly
garch11_primary_global,clock_adjusted,normal,1914530,2.0919497611350705e-10,0.051908178007925715,0.04949181225361044,0.05432454376224099,0.9480918219920733,0.9457521355932919,0.9504315083908548,,0.999999999999999,False,,0,1e-07,4,True
garch11_secondary_raw_global,raw,normal,1914530,3.4527449098562356e-09,0.2139202025327819,0.20749754039413348,0.22034286467143033,0.783828055696515,0.7776172617039153,0.7900388496891148,,0.9977482582292969,True,307.4804145545133,0,1e-05,4,True
garch11_student_t_sensitivity,clock_adjusted,t,1914530,1.065767194964337e-09,0.10531008843479375,0.09699438209536292,0.11362579477422459,0.8877269192022295,0.8782526363316224,0.8972012020728365,,0.9930370076370232,True,99.20033586050022,0,1e-05,4,True
