m,n_null1_replicas,Q_null1_p50,Q_null1_p975,Q_real,percentile_of_real_in_null1,exceeds_calibration_threshold
10,200,16.83436527495424,36.58761397318691,378.18213916706895,100.0,True
20,200,34.89630203519851,53.05007705522749,445.4252493583808,100.0,True
40,200,65.76973255616625,98.71370587743696,612.1442285881908,100.0,True
60,200,95.93276341736205,135.6329439895043,718.9923039648746,100.0,True
