config,group,n,std_z,q0.01,q0.05,q0.95,q0.99
ewma_60_raw,0.0,191274,1.063571182260404,-2.766204668617311,-1.6208609157580962,1.6160658091547713,2.6701162845837048
ewma_60_raw,1.0,191453,1.0834335630968523,-2.73655947784829,-1.5975616541820454,1.5702121530424533,2.6409328613471077
ewma_60_raw,2.0,191453,1.083352921358909,-2.7666684411091467,-1.5726852231786959,1.5764982728099826,2.6473772888367177
ewma_60_raw,3.0,191453,1.0557264261817432,-2.7683351817189674,-1.568892716355171,1.546639279778778,2.6352034006919536
ewma_60_raw,4.0,191453,1.0787231542566957,-2.813001762400387,-1.5678434001013808,1.531298735676277,2.5895658434547966
ewma_60_raw,5.0,191452,1.0347849812888517,-2.7804471471497845,-1.557075374360752,1.5273817037044135,2.5918159256287567
ewma_60_raw,6.0,191453,1.0554826411959524,-2.7279703091482044,-1.5641504541709221,1.5368040857604652,2.587396183709096
ewma_60_raw,7.0,191453,1.0187354966137616,-2.7401680960230483,-1.5658733842434613,1.5286509201059582,2.542264824486464
ewma_60_raw,8.0,191453,0.9964758642083971,-2.671499953488874,-1.5694375863029353,1.5353069406970072,2.5212895187892603
ewma_60_raw,9.0,191453,0.9880800945594927,-2.5332005328546683,-1.550411418757107,1.5335885237071554,2.5310591824248645
ewma_60_clock_adjusted,0.0,191274,1.0564823708355728,-2.7034615327055453,-1.6420439779351605,1.624416214410254,2.5592847192916994
ewma_60_clock_adjusted,1.0,191453,1.0410582974342937,-2.6707302329113936,-1.6346868427033197,1.5910276309978244,2.4882760602723915
ewma_60_clock_adjusted,2.0,191453,1.029304981882466,-2.6251875611104447,-1.6182080083934443,1.5918029726364127,2.485060193855228
ewma_60_clock_adjusted,3.0,191453,1.027166333873702,-2.612524964173236,-1.609279379226584,1.5803784863205574,2.4862880835121772
ewma_60_clock_adjusted,4.0,191453,1.0360779242568314,-2.611588762845274,-1.5973122597372393,1.5751694073527758,2.482370195553691
ewma_60_clock_adjusted,5.0,191452,1.0369258648411233,-2.6208925320406267,-1.587268700995705,1.5569612173497032,2.465089395235631
ewma_60_clock_adjusted,6.0,191453,1.0142268182863572,-2.5837092303439144,-1.5788755625042616,1.5587959096770458,2.457792337536573
ewma_60_clock_adjusted,7.0,191453,1.014714463743665,-2.602058444218695,-1.5733922925336148,1.5428578178236898,2.4651547886654464
ewma_60_clock_adjusted,8.0,191453,1.004188588997878,-2.54992171323318,-1.5509376793009546,1.5523979970608346,2.491893776824952
ewma_60_clock_adjusted,9.0,191453,0.9872786702982557,-2.5492717106694904,-1.5284273152306707,1.5402917841836081,2.5052522328415767
