variable,raw_adjusted,null_type,lag,rho_real_abs,n_null1_replicas,null1_p50,null1_p975,percentile_of_real_in_null1,exceeds_calibration_threshold
abs_r,adjusted,global_permutation_secondary,1,0.3979313402272932,200,0.0004934350030913524,0.0015191014211742985,100.0,True
abs_r,adjusted,global_permutation_secondary,2,0.3730495572559014,200,0.000603556266641725,0.001962376163450659,100.0,True
abs_r,adjusted,global_permutation_secondary,5,0.35410026044283516,200,0.00049602620612123,0.0017423812844878641,100.0,True
abs_r,adjusted,global_permutation_secondary,10,0.3387416742049737,200,0.000517000791921322,0.0015250982300771757,100.0,True
abs_r,adjusted,global_permutation_secondary,20,0.3246071849308364,200,0.000430001938269958,0.0016099157625252744,100.0,True
abs_r,adjusted,global_permutation_secondary,30,0.3145165443027966,200,0.000529942520099668,0.0014213582693100803,100.0,True
abs_r,adjusted,global_permutation_secondary,60,0.2921831356765359,200,0.0004511333148064625,0.0016297380652483848,100.0,True
log_hl,adjusted,global_permutation_secondary,1,0.7171785679211872,200,0.0005174790109154855,0.0017746105522223692,100.0,True
log_hl,adjusted,global_permutation_secondary,2,0.6781966967256158,200,0.0004738552785729913,0.0017379650902202047,100.0,True
log_hl,adjusted,global_permutation_secondary,5,0.6457367571408384,200,0.0004840534770251321,0.0014362771611975455,100.0,True
log_hl,adjusted,global_permutation_secondary,10,0.6223387322987834,200,0.00047374982294425244,0.0013530653052584865,100.0,True
log_hl,adjusted,global_permutation_secondary,20,0.5983229123082746,200,0.0004870585958467425,0.0015378341229799768,100.0,True
log_hl,adjusted,global_permutation_secondary,30,0.5830502754293162,200,0.0005069357489878043,0.0016009826265067947,100.0,True
log_hl,adjusted,global_permutation_secondary,60,0.5494749040301012,200,0.00038356525700675213,0.0017276670973977557,100.0,True
