invalid_reason,n,mean,std,skewness,kurtosis_excess,kurtosis_excess_trimmed,min,max,q0.001,q0.01,q0.05,q0.25,q0.5,q0.75,q0.95,q0.99,q0.999
ROLL_BOUNDARY,21,-0.0009720072550895361,0.02578361839702319,-2.8872655923361124,8.845724979143021,-0.7499634776628388,-0.10065931533647487,0.02061058432338799,-0.09904856625866908,-0.08455182455841695,-0.020121861446185274,-0.006545048347284306,0.007769086486276739,0.012362911137857775,0.02011603599689286,0.020511674658088966,0.020600693356858088
TRADING_DATE_BOUNDARY,1398,-7.40511664162263e-05,0.002874422809322803,-5.634657929153627,76.84367450568597,48.5784541228025,-0.045991168437963866,0.017534007955090455,-0.03022281219768869,-0.009311249354430274,-0.00283513618924141,-0.00046852407713887775,4.5256226457858205e-05,0.0006059584346623108,0.0027226257228063562,0.006131391391081267,0.01499901164334853
NON_CONSECUTIVE_MINUTE,2100,-6.96677248037584e-05,0.001731669594095081,-17.860684320492403,436.8982015153143,218.16972866889284,-0.045391203498644284,0.012838387270008945,-0.02136122930382266,-0.0031736928003862396,-0.0006146545253523312,-9.864370073290105e-05,0.0,9.661408559386101e-05,0.0005179130710481656,0.0021492319464857176,0.0069380254571017475
