lag,rho_real_abs,n_null_replicas_combinadas,null_p50,null_p975,percentile_of_real_in_null,exceeds_calibration_threshold
1,0.005921100675958302,400,0.0007179291851220214,0.0022512815752781332,100.0,True
2,0.00844524979014991,400,0.0007023921622786972,0.0023725797000943593,100.0,True
5,0.0044792849066290245,400,0.0006685787782638385,0.0024304281976926414,100.0,True
10,0.003238380747821849,400,0.0007159067442464313,0.0024138893538393903,99.75,True
20,0.0030122758082680497,400,0.0006627620137059636,0.002305572206715245,99.75,True
