variable,minute_of_day,n,point,ci_lo,ci_hi
r_1m_mean,529,1411,8.366067155194431e-06,-1.3972002389081016e-05,2.7037787288909608e-05
r_1m_mean,530,1412,3.813039215196928e-06,-1.5178583461445866e-05,2.8758749764412612e-05
r_1m_mean,531,1413,-9.427985887094566e-06,-2.883234117628083e-05,1.0074452457942043e-05
r_1m_mean,532,1413,1.8678727917715528e-05,-1.9994152239475174e-06,3.711234697127051e-05
r_1m_mean,533,1412,1.3335359402084305e-05,-5.3825932535329835e-06,3.46696367572467e-05
r_1m_mean,534,1412,-3.025270204999009e-06,-1.943964706292121e-05,1.5505032394774056e-05
r_1m_mean,535,1412,6.517455316069356e-07,-2.1954132384870522e-05,1.961254874161431e-05
r_1m_mean,536,1411,2.3957866744125095e-05,3.900598492306744e-06,4.2699816321063994e-05
r_1m_mean,537,1412,-9.804822457550223e-06,-2.97876106613248e-05,8.923039785134228e-06
r_1m_mean,538,1411,-1.5863819325007552e-05,-3.4467601057691954e-05,4.899853647758444e-06
r_1m_mean,539,1411,1.4016949916738975e-05,-4.177905214108437e-06,3.3490101961796224e-05
r_1m_mean,540,1411,-8.15907798675864e-06,-2.3833253239700955e-05,7.83129753810783e-06
r_1m_mean,541,1411,-5.507791736554016e-06,-3.2809543090955864e-05,2.0846114778852753e-05
r_1m_mean,542,1412,2.1792466513558086e-06,-1.937796511348152e-05,2.2209454023488402e-05
r_1m_mean,543,1413,2.0592377279316246e-05,1.7193120566591141e-06,4.282313444867886e-05
r_1m_mean,544,1414,-4.500908327405401e-06,-2.3829554026779533e-05,1.356307929531012e-05
r_1m_mean,545,1413,1.5823872277875812e-05,-4.789296182590907e-06,3.379445286345622e-05
r_1m_mean,546,1413,-2.577750322101783e-06,-2.47742191155818e-05,1.3371292183968026e-05
r_1m_mean,547,1413,-1.2873482684870431e-05,-2.9920100745546936e-05,5.379395321417675e-06
r_1m_mean,548,1414,-3.1182968958359065e-06,-2.3256555999461717e-05,1.941941797744162e-05
r_1m_mean,549,1413,-5.533903943725568e-06,-2.3886072806624195e-05,1.3928761644654783e-05
r_1m_mean,550,1412,-2.75342915809964e-06,-2.052255197121669e-05,1.3709623286033961e-05
r_1m_mean,551,1412,-1.8476557671436252e-05,-3.5649221549476183e-05,7.669665114593398e-07
r_1m_mean,552,1412,1.0683611496294755e-05,-6.6137674202356785e-06,2.9547493062418053e-05
r_1m_mean,553,1412,-1.4702185418109078e-06,-1.8713798797274673e-05,1.7698280851252894e-05
r_1m_mean,554,1413,-2.9890734355780655e-06,-2.120233759681728e-05,1.5361555321039343e-05
r_1m_mean,555,1413,2.582394516189663e-05,1.1443859024559992e-05,4.392288479971316e-05
r_1m_mean,556,1409,1.1981974094008389e-05,-9.06454185694621e-06,3.4018664759091264e-05
r_1m_mean,557,1409,-1.0041086315397476e-05,-2.8412680716990935e-05,5.798802592489187e-06
r_1m_mean,558,1410,8.457390665270694e-06,-8.536048452399324e-06,2.6109410094789572e-05
r_1m_mean,559,1410,1.2182143012021985e-07,-1.627346999444587e-05,1.6651770162581486e-05
r_1m_mean,560,1410,5.77564949884685e-06,-1.2010530315884292e-05,2.142697076635371e-05
r_1m_mean,561,1410,1.1025149564435859e-05,-7.13693997707213e-06,2.734404045654731e-05
r_1m_mean,562,1410,2.600873933789152e-06,-1.44440535314562e-05,1.8408023864945092e-05
r_1m_mean,563,1409,-3.916887319331314e-06,-1.9752113325064908e-05,9.241561523959892e-06
r_1m_mean,564,1410,1.6309029114698864e-05,-5.828641402540551e-07,3.470219446706703e-05
r_1m_mean,565,1411,-5.180203179059151e-06,-2.2328186163639924e-05,1.1842735317424608e-05
r_1m_mean,566,1410,-6.010454892652884e-05,-8.891307239057614e-05,-3.6553487929489314e-05
r_1m_mean,567,1410,-7.251378587647139e-06,-2.3066466420362025e-05,8.635223831162441e-06
r_1m_mean,568,1410,-4.4381922061045884e-05,-6.487679708187282e-05,-2.3179467003858086e-05
r_1m_mean,569,1410,3.0595936921995668e-06,-2.5140047459733504e-05,3.3404743133908075e-05
r_1m_mean,570,1410,2.9264245689413556e-05,6.091283289561599e-06,5.3976095960639425e-05
r_1m_mean,571,1390,0.00011898739478304322,6.06272542776942e-05,0.00018317099507972256
r_1m_mean,572,1393,-1.4591384072573156e-05,-8.307644486593387e-05,4.85777742426411e-05
r_1m_mean,573,1393,-1.4347201534770216e-05,-7.423148132996144e-05,4.697619365854103e-05
r_1m_mean,574,1392,6.857479574290559e-06,-3.933664687025542e-05,6.370495489016874e-05
r_1m_mean,575,1392,-8.742394779585351e-05,-0.0001383014321722247,-3.939110090498476e-05
r_1m_mean,576,1393,-1.4517276458327871e-05,-6.945568308601132e-05,4.29028673577828e-05
r_1m_mean,577,1392,-6.670665501977767e-06,-6.272112510345452e-05,4.177174246415701e-05
r_1m_mean,578,1391,-2.055603355813851e-05,-6.591610394584597e-05,3.288460608868667e-05
r_1m_mean,579,1391,4.215612970621182e-05,-3.0806186766040295e-06,8.706623412258868e-05
r_1m_mean,580,1391,3.5449442290738625e-06,-3.748378932373314e-05,4.774827252460406e-05
r_1m_mean,581,1391,-4.381142301954113e-05,-9.955427702918426e-05,1.0244431016043667e-05
r_1m_mean,582,1391,5.023513746902338e-05,6.23319545780204e-06,9.686072864596739e-05
r_1m_mean,583,1391,-1.519320491655175e-06,-4.395815993639793e-05,4.001405462277118e-05
r_1m_mean,584,1391,-3.083027014461461e-05,-7.037754051413029e-05,1.744111541066014e-05
r_1m_mean,585,1391,-2.5540508670552175e-05,-7.01342450215252e-05,1.809670887640039e-05
r_1m_mean,586,1391,7.351832101025598e-05,1.8386468280224354e-05,0.00011783636642028733
r_1m_mean,587,1392,-1.161310925010388e-05,-6.305250246665907e-05,3.165864120029052e-05
r_1m_mean,588,1392,-4.8928954378222696e-06,-4.35413431335409e-05,4.490819785614839e-05
r_1m_mean,589,1392,1.9030462164233305e-05,-1.9546788056900957e-05,6.516600984945615e-05
r_1m_mean,590,1392,-7.988295894443333e-05,-0.0001187824506835081,-3.618310073929031e-05
r_1m_mean,591,1392,-1.1872914145045457e-05,-6.395132632398617e-05,3.588754936675624e-05
r_1m_mean,592,1393,3.37278566541592e-05,-1.4657987047805008e-05,7.904700014702922e-05
r_1m_mean,593,1394,1.4637560326254773e-05,-3.353100875350314e-05,5.663462944805057e-05
r_1m_mean,594,1394,1.0401669855799956e-05,-3.861854708536162e-05,5.3163519247176315e-05
r_1m_mean,595,1394,-8.77203719876862e-06,-5.1874703794894927e-05,2.7763856782028627e-05
r_1m_mean,596,1394,7.175635101249156e-05,3.3515867288062324e-05,0.00011547021586914633
r_1m_mean,597,1394,2.3933249049017052e-05,-2.0371740825225474e-05,6.414774472619808e-05
r_1m_mean,598,1393,-3.540571738220483e-06,-3.8966614010925985e-05,3.070440788009608e-05
r_1m_mean,599,1393,4.052998731486457e-05,3.0208960871259983e-06,8.067141993830878e-05
r_1m_mean,600,1392,3.357552907585758e-05,-3.0649513617869727e-06,6.641871715169868e-05
r_1m_mean,601,1392,-2.2392169274817425e-05,-8.933130562593317e-05,4.648307636426983e-05
r_1m_mean,602,1393,-5.3183597527371524e-05,-0.00010235892843151676,-8.275402675201622e-06
r_1m_mean,603,1393,1.1188866700051678e-05,-3.758049556110216e-05,5.158915117014432e-05
r_1m_mean,604,1393,-4.948418842241107e-05,-8.963199648834244e-05,-1.0064912691842612e-05
r_1m_mean,605,1393,2.736404920582343e-07,-3.751041332360234e-05,3.726690238096575e-05
r_1m_mean,606,1393,6.064532011761667e-05,1.794307763396362e-05,0.00010775010817133458
r_1m_mean,607,1393,-2.1151330559396988e-05,-6.328472235507846e-05,1.662420895991313e-05
r_1m_mean,608,1393,-2.0527957145281915e-06,-4.662617992638675e-05,3.650522400729244e-05
r_1m_mean,609,1393,1.585634564145324e-05,-1.4640869341511225e-05,5.399377802524062e-05
r_1m_mean,610,1394,-1.4347139874083226e-05,-5.34784725142455e-05,2.137896956521096e-05
r_1m_mean,611,1394,2.1392018603050755e-05,-2.428856638955246e-05,6.993274725972896e-05
r_1m_mean,612,1394,-4.148620131507532e-05,-8.174010407226929e-05,-1.9916460810449316e-06
r_1m_mean,613,1394,1.0674098321735236e-05,-3.097334351572231e-05,5.592623575377375e-05
r_1m_mean,614,1394,4.249156917922436e-05,-1.8022346895504666e-06,8.290940975276494e-05
r_1m_mean,615,1394,2.157993539160233e-05,-1.515426982814391e-05,5.9395452743853844e-05
r_1m_mean,616,1394,1.731573267899211e-05,-2.098238233592255e-05,5.894840654685181e-05
r_1m_mean,617,1394,2.107254192431968e-05,-1.8593571184370512e-05,5.8707720289678615e-05
r_1m_mean,618,1394,2.47484778521173e-05,-1.3993383726674814e-05,6.303326724917567e-05
r_1m_mean,619,1394,-1.2406613209665269e-05,-6.349344243905827e-05,3.1229097233488116e-05
r_1m_mean,620,1394,2.640456754476016e-06,-3.3577321868240096e-05,3.288045464698705e-05
r_1m_mean,621,1394,-2.18440735298985e-05,-6.0272910514257864e-05,1.9979255866863876e-05
r_1m_mean,622,1394,1.3396446631296629e-05,-2.2415260254752182e-05,5.42581611811883e-05
r_1m_mean,623,1394,2.330936639689996e-05,-1.4234143017301702e-05,6.355303419909777e-05
r_1m_mean,624,1394,6.647658576439391e-06,-2.9011803662962507e-05,4.198641199498743e-05
r_1m_mean,625,1394,-2.9772523657101268e-06,-4.214189940580638e-05,3.2975908572690345e-05
r_1m_mean,626,1394,1.5976636764541527e-05,-2.238673788862653e-05,5.0365485823882374e-05
r_1m_mean,627,1394,-3.48589284501426e-06,-3.9462844923071405e-05,3.438074325385446e-05
r_1m_mean,628,1394,-1.6993484903701378e-05,-5.2157665247924126e-05,1.7697584102634184e-05
r_1m_mean,629,1394,-2.8372840841091458e-05,-6.067024767994907e-05,4.64461253798143e-06
r_1m_mean,630,1394,-1.9609196819477672e-05,-5.424448001536553e-05,1.627456223496585e-05
r_1m_mean,631,1394,4.0154436103534993e-05,-3.107136459354204e-06,7.898055826150841e-05
r_1m_mean,632,1394,1.7283138451750055e-05,-1.6692106329517984e-05,5.5769019706842516e-05
r_1m_mean,633,1394,-2.49909605595215e-05,-5.9712157417343816e-05,7.540944646578717e-06
r_1m_mean,634,1394,1.2403473632272814e-05,-2.0287038469124215e-05,4.6534799051659494e-05
r_1m_mean,635,1394,-1.0953332428539657e-05,-4.868603815116271e-05,2.46633092803514e-05
r_1m_mean,636,1394,-1.1128266526788027e-05,-4.550283464869828e-05,2.3937181145090923e-05
r_1m_mean,637,1394,-3.5364194759438336e-05,-7.039579278977695e-05,-1.8518473263598191e-06
r_1m_mean,638,1394,-1.3230404262684304e-05,-4.874610872349471e-05,2.7456141412186065e-05
r_1m_mean,639,1394,-4.1211108873712906e-06,-3.546101035526363e-05,3.0721312539355974e-05
r_1m_mean,640,1394,8.713291141387579e-06,-2.0980839018021796e-05,3.818336066313433e-05
r_1m_mean,641,1394,4.990467608955786e-06,-2.7180946708144967e-05,4.1663048952929774e-05
r_1m_mean,642,1393,8.472046482819224e-06,-2.349429456712023e-05,3.985851395223492e-05
r_1m_mean,643,1392,-2.2343057798824516e-05,-6.103937526037861e-05,7.863721219270741e-06
r_1m_mean,644,1393,-5.222462576401756e-06,-3.717460134192585e-05,2.749093850437277e-05
r_1m_mean,645,1393,1.2285725145389102e-05,-1.5917389791436413e-05,3.6857451562478744e-05
r_1m_mean,646,1393,2.9592803966303156e-05,-3.13166837209142e-06,6.983666373892131e-05
r_1m_mean,647,1392,3.023279424299521e-07,-3.309948710502525e-05,4.1179632109266446e-05
r_1m_mean,648,1392,1.691860132909247e-05,-1.936385610199825e-05,4.922854181915301e-05
r_1m_mean,649,1392,-1.5210649946585155e-05,-4.324883112942746e-05,1.7883164613413868e-05
r_1m_mean,650,1393,-1.6183527574914043e-06,-2.9957795249256503e-05,2.9746987283102012e-05
r_1m_mean,651,1393,-6.0190635356023135e-05,-9.478518081830416e-05,-2.0261167224583852e-05
r_1m_mean,652,1394,-1.1879239352551252e-05,-4.153399935477702e-05,2.0801868280382434e-05
r_1m_mean,653,1394,-2.9483728251396943e-05,-5.934276854713727e-05,-2.2218238979288273e-06
r_1m_mean,654,1393,-6.186551006495243e-06,-3.7787550625376304e-05,2.976729822796426e-05
r_1m_mean,655,1393,2.1531263290709602e-05,-7.78616331303275e-06,5.2181382465875553e-05
r_1m_mean,656,1393,1.3562202016486367e-05,-1.6912857113011198e-05,4.067951782136938e-05
r_1m_mean,657,1394,-1.0954591371720714e-05,-4.1342341584180874e-05,2.3655744192850986e-05
r_1m_mean,658,1394,-1.2937365748173489e-05,-4.1527800833939145e-05,1.8569582846816656e-05
r_1m_mean,659,1394,-3.197747933929252e-06,-2.757691927667501e-05,2.5360884527283545e-05
r_1m_mean,660,1394,-1.9332682856632124e-05,-4.7024473441825934e-05,1.273809175582759e-05
r_1m_mean,661,1394,4.6723910643663395e-05,8.889577363089176e-06,8.383612078912125e-05
r_1m_mean,662,1394,-9.17005944300732e-06,-3.759190058331778e-05,2.4075851402330296e-05
r_1m_mean,663,1394,9.92017512984945e-06,-1.897132213576169e-05,4.278366952532755e-05
r_1m_mean,664,1394,-1.2349519560221848e-05,-4.585616971750278e-05,1.720960136720745e-05
r_1m_mean,665,1394,7.722965960079563e-06,-2.115563584316144e-05,3.9716379618501704e-05
r_1m_mean,666,1394,-2.207166346950867e-07,-3.6655604094910976e-05,2.9731240017403993e-05
r_1m_mean,667,1394,4.353131110050352e-05,8.728513200295537e-06,7.858351028156555e-05
r_1m_mean,668,1394,-1.2532713555055767e-05,-4.498368126493627e-05,1.4744710210773307e-05
r_1m_mean,669,1394,7.884730580421553e-06,-1.9443933892017768e-05,3.84520600304476e-05
r_1m_mean,670,1394,1.9919717815703372e-05,-9.81553058116224e-06,5.0783274274356934e-05
r_1m_mean,671,1394,1.1419978500944395e-05,-2.5142551700069517e-05,3.9744504655224935e-05
r_1m_mean,672,1394,1.0306812167534542e-06,-2.6672226663629456e-05,3.088104291600114e-05
r_1m_mean,673,1394,1.556445565772636e-05,-1.4831756082634517e-05,4.2094525998058105e-05
r_1m_mean,674,1394,-3.181714149238745e-06,-3.4534101938939655e-05,2.188299613615446e-05
r_1m_mean,675,1394,1.8441427650087182e-05,-1.4798290451255264e-05,4.968730999207866e-05
r_1m_mean,676,1394,-1.404202316260188e-05,-5.472750548114095e-05,2.5227653193773644e-05
r_1m_mean,677,1394,-1.7171488896879735e-05,-4.9464866407156054e-05,2.0706785053211886e-05
r_1m_mean,678,1394,9.070729349077284e-06,-1.864474973629816e-05,3.564548472589358e-05
r_1m_mean,679,1394,7.721071023746666e-06,-2.114471533553698e-05,3.428064061615142e-05
r_1m_mean,680,1394,1.7240217309575642e-05,-6.135172273801986e-06,4.4246525728688166e-05
r_1m_mean,681,1393,1.527706180237825e-05,-1.6218282277262677e-05,4.328575634017057e-05
r_1m_mean,682,1393,4.334319792101807e-06,-2.6848539120970524e-05,3.101156429634332e-05
r_1m_mean,683,1394,-5.914702664675376e-06,-3.505136767723563e-05,1.935704370676812e-05
r_1m_mean,684,1394,9.956193095423619e-07,-3.217522754221991e-05,3.318922195593224e-05
r_1m_mean,685,1394,1.1596762437815937e-06,-2.580667621532594e-05,2.6970053093273916e-05
r_1m_mean,686,1393,-1.7134103906178057e-05,-4.663546575767972e-05,1.1511025934691322e-05
r_1m_mean,687,1393,-1.1682345889716333e-07,-3.299468400382752e-05,3.4635151391099116e-05
r_1m_mean,688,1394,-3.494075966925612e-06,-2.8234273899084804e-05,2.2426945963544003e-05
r_1m_mean,689,1394,3.1025893783411077e-06,-2.4602071399844766e-05,3.198287377011226e-05
r_1m_mean,690,1394,4.647057586257364e-06,-1.9716275948199135e-05,3.515992033931796e-05
r_1m_mean,691,1394,3.065562940339627e-05,-7.541220202307414e-07,6.486304925382861e-05
r_1m_mean,692,1394,-2.2049874437968922e-05,-5.153863829417329e-05,1.1329489521163466e-05
r_1m_mean,693,1394,-1.2542842957807412e-05,-4.0869962521041194e-05,1.575540999183255e-05
r_1m_mean,694,1394,8.523357566796457e-06,-2.039488820428699e-05,3.858667276341999e-05
r_1m_mean,695,1394,1.01579145142579e-05,-1.6049379163302353e-05,3.5863354970557924e-05
r_1m_mean,696,1394,1.729344974131308e-05,-1.1724466947015547e-05,4.543911709720368e-05
r_1m_mean,697,1394,2.520382906244781e-05,-4.233003972896217e-06,4.8593133583329945e-05
r_1m_mean,698,1394,7.5143219612039195e-06,-2.175538343561528e-05,3.9291927332787545e-05
r_1m_mean,699,1394,-8.400094065865033e-06,-3.903145829796685e-05,1.9290655528920734e-05
r_1m_mean,700,1394,1.4111701027614628e-05,-1.2013769116408634e-05,3.8240979698322684e-05
r_1m_mean,701,1394,2.3414537694509665e-05,-7.975823328580977e-06,5.4117333228842384e-05
r_1m_mean,702,1394,-2.32097842760279e-05,-5.484289164257649e-05,3.6518698861283077e-06
r_1m_mean,703,1394,-2.228480379596467e-05,-5.27383302932254e-05,3.965067579174499e-06
r_1m_mean,704,1394,-1.7673258969680683e-05,-4.373707650431904e-05,1.0171973357934185e-05
r_1m_mean,705,1394,5.782151102800583e-06,-1.9737705668184827e-05,3.5434466657180136e-05
r_1m_mean,706,1394,6.339830581414265e-06,-2.1910555271411037e-05,3.429159852692346e-05
r_1m_mean,707,1394,-2.3816062913351623e-06,-2.902570094689449e-05,2.607963928885503e-05
r_1m_mean,708,1394,1.0232517626435126e-05,-2.1693242895226892e-05,3.736385948954701e-05
r_1m_mean,709,1394,1.4373337045908669e-05,-8.781549624301e-06,3.905117599024653e-05
r_1m_mean,710,1394,-1.3761799292434798e-05,-3.755423063125329e-05,7.957339372429437e-06
r_1m_mean,711,1394,9.010539240727778e-06,-1.6815844316200424e-05,3.309604947213013e-05
r_1m_mean,712,1394,-5.74885339646151e-06,-3.571421150947827e-05,2.2382696826430305e-05
r_1m_mean,713,1394,3.166095174534561e-05,7.712472259498069e-06,5.6844559529404634e-05
r_1m_mean,714,1394,8.910312906534577e-06,-1.674062862382111e-05,3.588777376574432e-05
r_1m_mean,715,1393,7.0622795463289396e-06,-1.831762772274207e-05,3.35448469944635e-05
r_1m_mean,716,1393,2.23003697523691e-06,-2.6108280767102664e-05,2.606356937241665e-05
r_1m_mean,717,1393,6.722114907316846e-06,-2.2993760109264188e-05,3.5899178272562575e-05
r_1m_mean,718,1393,-6.314625876332545e-06,-3.550116054258916e-05,2.0956906565066025e-05
r_1m_mean,719,1393,5.67852262721052e-06,-2.0771344316573508e-05,3.33366957984182e-05
r_1m_mean,720,1393,8.508252264527373e-06,-1.6770580697204793e-05,3.8886547324834584e-05
r_1m_mean,721,1393,-3.1032845136888956e-05,-5.862453016581604e-05,1.565309262776868e-06
r_1m_mean,722,1393,7.485908210441749e-06,-2.4627047703428132e-05,3.800556881646463e-05
r_1m_mean,723,1393,-1.0306412377380098e-05,-4.0644300940561864e-05,2.1772047161282134e-05
r_1m_mean,724,1394,-6.9416725290916165e-06,-3.759698391864595e-05,1.9334802554603037e-05
r_1m_mean,725,1394,-1.077386661313106e-05,-3.3446077441005985e-05,1.2798302896742935e-05
r_1m_mean,726,1394,-7.066172820081264e-06,-3.5827684183852905e-05,2.2573409618779348e-05
r_1m_mean,727,1394,5.500064474120852e-06,-2.447032552927274e-05,3.08923070272654e-05
r_1m_mean,728,1394,-8.082156534456753e-06,-3.478605605729618e-05,1.4776521207783203e-05
r_1m_mean,729,1394,-3.050248407657135e-06,-2.6681790316672393e-05,2.0675382446479526e-05
r_1m_mean,730,1394,-2.194457975138965e-05,-4.866763600511433e-05,-5.993336862529097e-07
r_1m_mean,731,1394,1.3286680383171955e-05,-1.9202960271405788e-05,3.9090023687647194e-05
r_1m_mean,732,1394,-2.5931087230222285e-06,-2.568817560813868e-05,2.0008013100918444e-05
r_1m_mean,733,1394,7.507832783397887e-08,-2.1584566620492996e-05,2.6475931186510505e-05
r_1m_mean,734,1394,1.9277088281206552e-05,-7.288763096434112e-06,4.3142141100843474e-05
r_1m_mean,735,1394,1.3156669487256727e-05,-1.2751152816356192e-05,3.642544318370995e-05
r_1m_mean,736,1394,1.8297404685365281e-06,-2.9113453949429157e-05,3.8504500267644485e-05
r_1m_mean,737,1394,-1.4185138996419792e-05,-4.1204163465390245e-05,1.3342194744806632e-05
r_1m_mean,738,1394,-5.9977427984467605e-06,-3.0438426920575445e-05,1.949648036111829e-05
r_1m_mean,739,1394,-2.149558193042746e-06,-2.8341328188205746e-05,2.4218727880259495e-05
r_1m_mean,740,1394,1.5228900218320339e-05,-7.1595316100012594e-06,3.8408346879861134e-05
r_1m_mean,741,1394,-4.367180754324829e-06,-2.972631349050362e-05,1.7654659133088476e-05
r_1m_mean,742,1394,-1.8911023916827292e-05,-4.519087880798623e-05,6.47013694496725e-06
r_1m_mean,743,1394,-9.968891092914607e-06,-3.081010420033443e-05,1.4128048692391791e-05
r_1m_mean,744,1394,-3.6718002420817107e-07,-2.3191896465076125e-05,2.6454783992914535e-05
r_1m_mean,745,1394,2.02867945628309e-05,-7.14708256071941e-06,4.448524070679671e-05
r_1m_mean,746,1394,-2.054806191011605e-06,-2.826048739256213e-05,2.1560477902124555e-05
r_1m_mean,747,1394,-4.818074710001478e-06,-2.762303761466449e-05,2.298190965505711e-05
r_1m_mean,748,1394,-6.222322406101706e-06,-3.3542921901615694e-05,1.9995739845221868e-05
r_1m_mean,749,1394,1.5525170579328113e-05,-1.2572195052198708e-05,3.773064063896952e-05
r_1m_mean,750,1394,1.421746899770869e-05,-8.755426582805194e-06,3.3085655278836576e-05
r_1m_mean,751,1394,-7.072261286413376e-06,-3.923977082115742e-05,1.8740411027990283e-05
r_1m_mean,752,1394,4.040290614273282e-06,-1.9275218427314065e-05,2.9763780214739766e-05
r_1m_mean,753,1394,1.2562371269995144e-05,-1.0368278199829394e-05,3.546665693896825e-05
r_1m_mean,754,1394,-2.603225123213728e-07,-2.763827843996728e-05,2.4706095384034926e-05
r_1m_mean,755,1394,1.7947563870954377e-05,-6.6418593430268995e-06,4.085064191617303e-05
r_1m_mean,756,1394,-3.961047548477662e-06,-3.144448278048488e-05,2.4122498431311717e-05
r_1m_mean,757,1394,7.4341420733666816e-06,-1.5471351220360644e-05,3.508468708333594e-05
r_1m_mean,758,1394,8.823406927072917e-07,-2.1510258576861978e-05,2.698744400187598e-05
r_1m_mean,759,1394,1.1281755790680926e-05,-1.1731121719467393e-05,3.416367834558237e-05
r_1m_mean,760,1394,-3.0347134077040034e-06,-2.3525341714911165e-05,1.8543648368052225e-05
r_1m_mean,761,1394,-2.625868563762336e-07,-2.6974004020553756e-05,2.5986885341938625e-05
r_1m_mean,762,1394,-5.843629679218845e-06,-3.15797901174509e-05,2.0320299785693193e-05
r_1m_mean,763,1394,-1.560346033882841e-05,-4.075465679692764e-05,6.8487683749403135e-06
r_1m_mean,764,1394,1.5943221850151815e-05,-8.160229660530198e-06,3.846600454342459e-05
r_1m_mean,765,1394,-7.167695232649647e-06,-3.07529894622153e-05,1.6414565591012358e-05
r_1m_mean,766,1394,-1.3159504253046793e-05,-4.431057931136371e-05,1.0825470015320013e-05
r_1m_mean,767,1394,-2.315969142084489e-05,-4.6794347918756304e-05,-9.655298799813657e-08
r_1m_mean,768,1394,-1.5342689690542094e-05,-3.6039617104592034e-05,1.0737409530705618e-05
r_1m_mean,769,1394,1.6404659918052283e-06,-2.0011805337424977e-05,2.2921949515573914e-05
r_1m_mean,770,1394,5.196382952178792e-06,-1.743518404659148e-05,2.7838495702301133e-05
r_1m_mean,771,1394,2.6318407820169253e-06,-1.9838331001727545e-05,2.815504012523172e-05
r_1m_mean,772,1394,9.083689909188127e-06,-1.3761982475953523e-05,3.0868397845469185e-05
r_1m_mean,773,1394,1.913474559464344e-05,-8.227791048056838e-06,4.150484882799785e-05
r_1m_mean,774,1394,-8.881273233645343e-06,-3.2066323932886165e-05,1.7108779358067695e-05
r_1m_mean,775,1394,2.213531978882543e-05,-7.332996086691081e-07,4.280537625724662e-05
r_1m_mean,776,1394,-1.2374557938539777e-05,-3.410365429806532e-05,1.1664606183812604e-05
r_1m_mean,777,1394,-1.7972466550654577e-06,-2.5294122334621073e-05,2.3414405131891115e-05
r_1m_mean,778,1393,1.4254011468985508e-06,-2.6656755313257306e-05,2.7127708586431795e-05
r_1m_mean,779,1392,8.713296042409089e-06,-1.4648651924827848e-05,3.0613034644430736e-05
r_1m_mean,780,1393,3.6404678279306364e-05,1.542019857175636e-05,5.8039703436524034e-05
r_1m_mean,781,1346,-2.9147061343377305e-05,-6.167158843393317e-05,5.6516607752311326e-06
r_1m_mean,782,1347,-8.494768526201556e-06,-4.3661684840715015e-05,2.5434075914682134e-05
r_1m_mean,783,1347,2.2878222642921325e-05,-9.8820314407933e-06,5.767760058140111e-05
r_1m_mean,784,1347,-3.526453293649829e-06,-3.12109647650806e-05,2.5264237134311255e-05
r_1m_mean,785,1347,-1.6281585098092547e-05,-4.691664047480724e-05,7.838033889069065e-06
r_1m_mean,786,1347,-1.2178852331852113e-05,-4.024451206870541e-05,1.753439984305874e-05
r_1m_mean,787,1347,3.1605307138929334e-05,1.788079252569982e-06,6.242674419345078e-05
r_1m_mean,788,1347,-5.2219423564211954e-06,-3.508488977713872e-05,2.352693771336696e-05
r_1m_mean,789,1347,3.428767346500235e-06,-2.2461460119726896e-05,2.8727174671057865e-05
r_1m_mean,790,1347,3.947307598178548e-06,-1.820932168924782e-05,3.23542090907935e-05
r_1m_mean,791,1347,-8.922400017066248e-06,-3.9018016160611394e-05,2.1388596958682233e-05
r_1m_mean,792,1347,-1.6974658310748023e-05,-4.346669463140437e-05,1.6189980476736114e-05
r_1m_mean,793,1347,5.497202864825764e-05,3.1401196681607334e-05,8.356908381951983e-05
r_1m_mean,794,1347,4.374642448817223e-06,-1.7432527473240547e-05,3.0668029572605356e-05
r_1m_mean,795,1346,8.42960676960857e-06,-1.3200414279727747e-05,3.293007384015781e-05
r_1m_mean,796,1346,-2.6392111984607084e-05,-5.434625200566813e-05,-1.6477012087010138e-07
r_1m_mean,797,1347,-2.0865976985744005e-05,-4.843087635857267e-05,9.45236302413092e-06
r_1m_mean,798,1347,-2.0374131587404122e-05,-4.487912221514422e-05,5.068375757545531e-06
r_1m_mean,799,1347,-5.780236438145372e-06,-2.7480093640607683e-05,1.9791537020074474e-05
r_1m_mean,800,1347,9.673862666839658e-06,-2.61364592344183e-05,5.982693671976173e-05
r_1m_mean,801,1347,1.3107742560718087e-06,-2.462752738034715e-05,2.724169067179617e-05
r_1m_mean,802,1346,9.286206817090392e-08,-2.8543997044569805e-05,2.9968664550301576e-05
r_1m_mean,803,1346,2.2683125096193088e-05,4.502913616958088e-07,4.463116153856891e-05
r_1m_mean,804,1347,-1.564838329246821e-05,-4.217833517643066e-05,1.0716943314021206e-05
r_1m_mean,805,1347,1.462553022732665e-05,-6.754829245590092e-06,4.1729096630089624e-05
r_1m_mean,806,1346,-4.318106830364107e-06,-2.9579476314587523e-05,2.5717181809051576e-05
r_1m_mean,807,1346,1.0151285704631311e-05,-1.221704969506009e-05,4.148539190697926e-05
r_1m_mean,808,1347,1.1557905211047687e-06,-2.1954694077831027e-05,2.2952721450523206e-05
r_1m_mean,809,1347,2.700076491106171e-07,-3.5564145982996986e-05,3.674575914470679e-05
r_1m_mean,810,1347,-3.344814993994039e-06,-2.9223389042752066e-05,2.1623311709728087e-05
r_1m_mean,811,1347,2.3899463873109723e-05,-8.624620128830682e-06,5.227029233619947e-05
r_1m_mean,812,1347,-1.0244932230213206e-05,-3.355571776896921e-05,1.7407687002375613e-05
r_1m_mean,813,1347,-1.9009157385612305e-05,-4.401538609822999e-05,6.356892873374163e-06
r_1m_mean,814,1347,4.782492340506797e-06,-1.9899550645009028e-05,3.0212362847869804e-05
