variable,minute_of_day,n,point,ci_lo,ci_hi
r_1m_mean,64,1407,8.630840608164213e-07,-1.405449178150642e-05,1.3430810896750633e-05
r_1m_mean,65,1406,5.713578874139637e-06,-5.078754099778997e-06,1.7413545353060207e-05
r_1m_mean,66,1409,1.5828014986319216e-06,-1.1434990083952482e-05,1.4665802980496734e-05
r_1m_mean,67,1405,-4.008674724091894e-06,-1.6434721293770224e-05,1.2203269844581958e-05
r_1m_mean,68,1409,-5.264305425628102e-06,-1.908891533844824e-05,8.738156107506745e-06
r_1m_mean,69,1407,3.0458727216138274e-06,-1.1585804474940006e-05,1.797375821254421e-05
r_1m_mean,70,1405,-2.658361673310747e-06,-1.5524991608917373e-05,1.059145663545244e-05
r_1m_mean,71,1407,-2.9587454887327267e-06,-1.7624997820845524e-05,1.5082363684587964e-05
r_1m_mean,72,1407,8.883850417404998e-06,-2.151667494954915e-06,2.0505394406317045e-05
r_1m_mean,73,1409,-7.134338281973098e-06,-1.978294609677691e-05,4.519859789372016e-06
r_1m_mean,74,1409,-7.565550652739708e-06,-1.9771970973659502e-05,1.7842952885634142e-06
r_1m_mean,75,1405,9.230605626439184e-06,-2.572596746861088e-06,2.0385755724970947e-05
r_1m_mean,76,1408,1.975231093601885e-05,3.9905474536699635e-06,3.29956046534328e-05
r_1m_mean,77,1409,1.5628748957515738e-06,-1.1719368716638284e-05,1.513990231852106e-05
r_1m_mean,78,1406,-2.833998956303982e-06,-1.4219388909963276e-05,8.217738781476038e-06
r_1m_mean,79,1405,2.9671526340790558e-06,-7.353688421220843e-06,1.457745409817527e-05
r_1m_mean,80,1405,1.4366169308472828e-06,-1.3305046643537464e-05,1.5027239875243883e-05
r_1m_mean,81,1405,6.75327490736713e-06,-5.173778203527806e-06,2.0462902042869844e-05
r_1m_mean,82,1408,-4.671490244596949e-06,-1.72094303764565e-05,8.210629608872078e-06
r_1m_mean,83,1411,-6.205083309516017e-06,-1.6604675707096378e-05,3.7706605267677523e-06
r_1m_mean,84,1408,-9.519106261189472e-06,-2.290687477446513e-05,2.085933694856531e-06
r_1m_mean,85,1408,-5.76393758420963e-06,-1.9119246335629908e-05,6.965670327333571e-06
r_1m_mean,86,1410,5.630250222811491e-06,-7.322128519375972e-06,1.8157394059939507e-05
r_1m_mean,87,1408,-4.5289211280753613e-07,-1.1900313336630835e-05,1.043773948054262e-05
r_1m_mean,88,1408,-2.895911830921455e-06,-1.4837227120101433e-05,6.648931387411324e-06
r_1m_mean,89,1409,8.415972435575269e-06,-3.5791837766981254e-06,1.8169816906715892e-05
r_1m_mean,90,1408,2.8014585165388168e-06,-9.138992541492583e-06,1.6428203167480546e-05
r_1m_mean,91,1405,7.5965051554456556e-06,-7.694189426568614e-06,2.1718375421792955e-05
r_1m_mean,92,1405,-4.276173041166129e-06,-1.7960765965574558e-05,1.0425159734206838e-05
r_1m_mean,93,1408,-8.910848917115355e-06,-2.2634574479131787e-05,4.928360861306521e-06
r_1m_mean,94,1409,9.563143755458338e-07,-1.099092489396773e-05,1.2671863602289328e-05
r_1m_mean,95,1409,-8.06986808367869e-07,-1.3290644563824752e-05,1.0628916559755863e-05
r_1m_mean,96,1408,-1.5669812406041036e-06,-1.4379016596546305e-05,1.1745645417546334e-05
r_1m_mean,97,1409,-5.420447068690693e-06,-1.6102794680849604e-05,8.066469678588496e-06
r_1m_mean,98,1408,-1.19035860457055e-06,-1.2765232433959609e-05,1.1260284296980343e-05
r_1m_mean,99,1408,1.055035727489167e-05,-3.7457742140040383e-06,2.4196548162011764e-05
r_1m_mean,100,1408,-1.4208450648347101e-06,-1.3284424907877682e-05,9.233674910024885e-06
r_1m_mean,101,1409,-2.5380080502068424e-07,-1.5300230915771648e-05,1.3742513949698257e-05
r_1m_mean,102,1406,1.6250825033875472e-05,3.917022209945143e-06,2.9465309421828464e-05
r_1m_mean,103,1407,3.2956774582664967e-06,-6.9482196564719015e-06,1.4089566783631223e-05
r_1m_mean,104,1407,6.463931528356941e-06,-4.210532953229607e-06,1.7344110113354292e-05
r_1m_mean,105,1408,3.3519060362640315e-06,-7.23359340166287e-06,1.5480072271387308e-05
r_1m_mean,106,1408,8.11226861846453e-06,-6.004993594120164e-06,2.135447325007562e-05
r_1m_mean,107,1409,-6.498193917403181e-06,-2.46003157679894e-05,1.088750732870728e-05
r_1m_mean,108,1410,2.846254993293084e-06,-8.288359213895783e-06,1.8131121551441502e-05
r_1m_mean,109,1405,-5.591623378907021e-06,-1.9390917065524176e-05,1.0364923856847048e-05
r_1m_mean,110,1403,-3.1190498654232616e-06,-1.731969501544192e-05,1.0945814989099207e-05
r_1m_mean,111,1408,-2.3994190458347783e-06,-1.545172007161655e-05,1.1779560035847837e-05
r_1m_mean,112,1410,5.842442838215099e-06,-8.423857332387997e-06,1.9550862988530847e-05
r_1m_mean,113,1409,9.383062176710769e-07,-1.4106002410881662e-05,1.4995677558934877e-05
r_1m_mean,114,1408,6.440335810101107e-06,-8.31710183830067e-06,1.9411774851616654e-05
r_1m_mean,115,1409,-5.563054440707756e-06,-1.677511778677935e-05,5.4377650618119955e-06
r_1m_mean,116,1410,1.7607843732394382e-05,5.005152597767706e-06,3.0451664171093235e-05
r_1m_mean,117,1410,-8.006020501675965e-06,-2.2338066075339084e-05,7.959425535589882e-06
