config,group,n,std_z,q0.01,q0.05,q0.95,q0.99
ewma_60_raw,00:00-02:00,168840,0.9943336900982092,-2.586399861164134,-1.5420015676861856,1.546682219795266,2.5380845125717792
ewma_60_raw,02:00-03:00,84663,1.2242572234771212,-3.1494801820185097,-1.9043892080247193,1.8947584011189078,3.0550137284926238
ewma_60_raw,03:00-08:30,465442,1.089509615725185,-2.8322050664801997,-1.7118994866272341,1.6913922837598008,2.7064696338209124
ewma_60_raw,08:30-09:30,84694,1.6582442767062917,-3.199111570240308,-1.8521019283851543,1.7789249444452546,2.9808696507037724
ewma_60_raw,09:30-16:02,537786,1.1179433608823104,-2.9965278859273097,-1.708424456611959,1.655271207853512,2.8242013741882968
ewma_60_raw,16:02-20:00,237735,0.6625834947441448,-1.750916968180586,-0.9506320040737358,0.9474113135321245,1.6930262613004838
ewma_60_raw,20:00-24:00,335190,0.8466734583969628,-2.229665031587639,-1.3014775455837633,1.2997493599466945,2.119349897350319
ewma_60_clock_adjusted,00:00-02:00,168840,1.0293236492444098,-2.6217541767911166,-1.593350975863074,1.602732262576941,2.601096298316524
ewma_60_clock_adjusted,02:00-03:00,84663,0.9856295412875224,-2.4605392770175962,-1.5382765516502968,1.5423470244626636,2.428055496505227
ewma_60_clock_adjusted,03:00-08:30,465442,0.9984421113471367,-2.5456245397811257,-1.5853391679761504,1.5673549568542888,2.435803540675558
ewma_60_clock_adjusted,08:30-09:30,84694,1.123255173750448,-2.5992810447562906,-1.5451814891804991,1.4979846960779042,2.480069746786962
ewma_60_clock_adjusted,09:30-16:02,537786,0.9874799026401885,-2.5289474010988817,-1.5913473227667148,1.5448543137264505,2.343127032873546
ewma_60_clock_adjusted,16:02-20:00,237735,1.1424896270624347,-2.981640175272455,-1.6885945604538726,1.688707701773421,2.8595222086719625
ewma_60_clock_adjusted,20:00-24:00,335190,1.0134020028815567,-2.6389059205652003,-1.5689365238476174,1.5621858090708203,2.513115823085846
