lag,rho_real_abs,n_null1_replicas,null1_p50,null1_p975,percentile_of_real_in_null1,exceeds_calibration_threshold
1,0.005921100675958302,200,0.0006683379483301032,0.0020566916085871553,100.0,True
2,0.00844524979014991,200,0.0006254441436904566,0.002013904162091337,100.0,True
5,0.0044792849066290245,200,0.0006641677297785744,0.001936532564605234,100.0,True
10,0.003238380747821849,200,0.0006133988902783582,0.0021647831402650413,100.0,True
20,0.0030122758082680497,200,0.0005828881515939754,0.002102744674602612,100.0,True
