family,param,input_series,fraction_removed_full,fraction_removed_trimmed,decile_stability_ratio,segment_stability_ratio,year_stability_ratio,max_stability_ratio,config_label_full,config_label_trimmed,n_sigma_floor_excluded,dist_scale_fraction,dist_form_fraction,dist_scale_stability,dist_form_stability,min_abs_distance_to_any_threshold,is_borderline
rolling_std,30.0,raw,0.23347268324207993,0.798886107096475,0.25031582426045956,0.0641599741743865,0.03791148703759321,0.25031582426045956,FORMA_SUSTANCIAL,MIXTO,1,-0.0011138929035250378,0.298886107096475,0.049684175739540426,-0.3496841757395404,0.0011138929035250378,True
rolling_std,120.0,raw,-0.4014567622645302,0.7477157784054218,0.1574201895959187,0.40765134654071283,0.027197253283616062,0.40765134654071283,FORMA_SUSTANCIAL,MIXTO,0,-0.05228422159457824,0.2477157784054218,-0.10765134654071284,-0.19234865345928714,0.05228422159457824,False
rolling_std,390.0,raw,-0.6018807594883488,0.6222702775459035,0.2219485231538118,0.6633722322285508,0.06367682140893109,0.6633722322285508,FORMA_SUSTANCIAL,FORMA_SUSTANCIAL,0,-0.17772972245409657,0.12227027754590347,-0.3633722322285508,0.06337223222855082,0.06337223222855082,False
ewma,20.0,raw,0.13645936719235097,0.8148147727370569,0.12842731897081072,0.26146534480398254,0.03230693376423535,0.26146534480398254,FORMA_SUSTANCIAL,ESCALA_DOMINA,0,0.014814772737056892,0.31481477273705694,0.03853465519601745,-0.33853465519601744,0.014814772737056892,True
ewma,60.0,raw,-0.3837377092676266,0.7544294275821086,0.06922227039827351,0.49841357913292605,0.02608588380632321,0.49841357913292605,FORMA_SUSTANCIAL,MIXTO,0,-0.04557057241789142,0.2544294275821086,-0.19841357913292607,-0.10158642086707392,0.04557057241789142,False
ewma,240.0,raw,-0.9391223400289197,0.5843915150100827,0.054753834586963826,0.9660730533818522,0.028446436824962302,0.9660730533818522,FORMA_SUSTANCIAL,FORMA_SUSTANCIAL,0,-0.21560848498991736,0.08439151501008268,-0.6660730533818522,0.36607305338185225,0.08439151501008268,False
rolling_std,30.0,clock_adjusted,0.7957633618870147,0.8588015470967095,0.22346008592858724,0.11465859932042931,0.04672334907121545,0.22346008592858724,MIXTO,ESCALA_DOMINA,11,0.05880154709670948,0.3588015470967095,0.07653991407141275,-0.37653991407141274,0.05880154709670948,False
rolling_std,120.0,clock_adjusted,0.6403535414774314,0.8454912717832017,0.09976060163332075,0.1933768494429914,0.048060094583284425,0.1933768494429914,MIXTO,ESCALA_DOMINA,0,0.04549127178320167,0.3454912717832017,0.10662315055700858,-0.4066231505570086,0.04549127178320167,False
rolling_std,390.0,clock_adjusted,0.5422058109590653,0.7930705573510664,0.09162229966940835,0.30997923318125015,0.10152464811027427,0.30997923318125015,MIXTO,MIXTO,0,-0.0069294426489336924,0.29307055735106635,-0.009979233181250158,-0.29002076681874983,0.0069294426489336924,True
ewma,20.0,clock_adjusted,0.7742452405943927,0.8750654865858533,0.1111223515320614,0.11583467588505657,0.05235110072763313,0.11583467588505657,MIXTO,ESCALA_DOMINA,0,0.07506548658585321,0.37506548658585326,0.1841653241149434,-0.4841653241149434,0.07506548658585321,False
ewma,60.0,clock_adjusted,0.6751547726580007,0.8550930428618144,0.043466791526870774,0.19078972682600512,0.051192915832704654,0.19078972682600512,MIXTO,ESCALA_DOMINA,0,0.05509304286181438,0.3550930428618144,0.10921027317399487,-0.40921027317399483,0.05509304286181438,False
ewma,240.0,clock_adjusted,0.5315718226724682,0.8046766666193305,0.018866276422835684,0.2624245582181597,0.09451120294584871,0.2624245582181597,MIXTO,ESCALA_DOMINA,0,0.004676666619330416,0.30467666661933046,0.0375754417818403,-0.3375754417818403,0.004676666619330416,True
