m,n_null_replicas_combinadas,Q_null_p50,Q_null_p975
10,400,21.12986798499166,48.0250488591886
20,400,40.63112029940384,73.52717051608998
40,400,75.76957865162254,128.9951757044364
60,400,108.0584875750294,167.05274982472437
