source_file,timestamp,open,close,volume
00_mnq_03_20.Last.txt,2019-12-23 03:07:00,8719.0,8719.0,7
00_mnq_03_20.Last.txt,2019-12-23 03:11:00,8718.5,8718.5,4
00_mnq_03_20.Last.txt,2019-12-23 03:12:00,8718.5,8718.5,4
00_mnq_03_20.Last.txt,2019-12-23 03:24:00,8719.0,8719.0,1
00_mnq_03_20.Last.txt,2019-12-23 03:26:00,8718.75,8718.75,4
00_mnq_03_20.Last.txt,2019-12-23 03:27:00,8718.75,8718.75,10
00_mnq_03_20.Last.txt,2019-12-23 03:33:00,8718.25,8718.25,3
00_mnq_03_20.Last.txt,2019-12-23 03:35:00,8718.75,8718.75,6
00_mnq_03_20.Last.txt,2019-12-23 03:40:00,8718.75,8718.75,3
00_mnq_03_20.Last.txt,2019-12-23 03:43:00,8718.75,8718.75,4
00_mnq_03_20.Last.txt,2019-12-23 03:48:00,8719.75,8719.75,2
00_mnq_03_20.Last.txt,2019-12-23 03:49:00,8719.5,8719.5,2
00_mnq_03_20.Last.txt,2019-12-23 03:59:00,8719.75,8719.75,6
00_mnq_03_20.Last.txt,2019-12-23 04:02:00,8719.25,8719.25,1
00_mnq_03_20.Last.txt,2019-12-23 04:06:00,8719.0,8719.0,2
00_mnq_03_20.Last.txt,2019-12-23 04:08:00,8719.0,8719.0,4
00_mnq_03_20.Last.txt,2019-12-23 04:14:00,8719.25,8719.25,2
00_mnq_03_20.Last.txt,2019-12-23 04:16:00,8719.25,8719.25,2
00_mnq_03_20.Last.txt,2019-12-23 04:19:00,8719.5,8719.5,6
00_mnq_03_20.Last.txt,2019-12-23 04:20:00,8719.5,8719.5,1
00_mnq_03_20.Last.txt,2019-12-23 04:23:00,8719.75,8719.75,2
00_mnq_03_20.Last.txt,2019-12-23 04:25:00,8719.75,8719.75,1
00_mnq_03_20.Last.txt,2019-12-23 04:28:00,8720.0,8720.0,5
00_mnq_03_20.Last.txt,2019-12-23 04:29:00,8720.0,8720.0,2
00_mnq_03_20.Last.txt,2019-12-23 04:32:00,8720.0,8720.0,3
00_mnq_03_20.Last.txt,2019-12-23 04:34:00,8720.5,8720.5,1
00_mnq_03_20.Last.txt,2019-12-23 04:35:00,8720.25,8720.25,6
00_mnq_03_20.Last.txt,2019-12-23 04:38:00,8719.75,8719.75,1
00_mnq_03_20.Last.txt,2019-12-23 04:40:00,8720.0,8720.0,8
00_mnq_03_20.Last.txt,2019-12-23 04:41:00,8719.75,8719.75,4
00_mnq_03_20.Last.txt,2019-12-23 04:46:00,8720.0,8720.0,3
00_mnq_03_20.Last.txt,2019-12-23 04:47:00,8720.0,8720.0,1
00_mnq_03_20.Last.txt,2019-12-23 04:51:00,8720.25,8720.25,5
00_mnq_03_20.Last.txt,2019-12-23 04:53:00,8720.25,8720.25,5
00_mnq_03_20.Last.txt,2019-12-23 04:55:00,8720.0,8720.0,3
00_mnq_03_20.Last.txt,2019-12-23 04:56:00,8720.0,8720.0,1
00_mnq_03_20.Last.txt,2019-12-23 04:57:00,8720.0,8720.0,2
00_mnq_03_20.Last.txt,2019-12-23 05:02:00,8719.5,8719.5,1
00_mnq_03_20.Last.txt,2019-12-23 05:03:00,8719.5,8719.5,1
00_mnq_03_20.Last.txt,2019-12-23 05:04:00,8719.25,8719.25,2
00_mnq_03_20.Last.txt,2019-12-23 05:19:00,8719.0,8719.0,5
00_mnq_03_20.Last.txt,2019-12-23 05:20:00,8718.75,8718.75,2
00_mnq_03_20.Last.txt,2019-12-23 05:28:00,8718.5,8718.5,1
00_mnq_03_20.Last.txt,2019-12-23 05:32:00,8718.75,8718.75,11
00_mnq_03_20.Last.txt,2019-12-23 05:34:00,8718.5,8718.5,5
00_mnq_03_20.Last.txt,2019-12-23 05:36:00,8718.25,8718.25,10
00_mnq_03_20.Last.txt,2019-12-23 05:38:00,8718.5,8718.5,3
00_mnq_03_20.Last.txt,2019-12-23 05:39:00,8718.5,8718.5,2
00_mnq_03_20.Last.txt,2019-12-23 05:43:00,8719.0,8719.0,1
00_mnq_03_20.Last.txt,2019-12-23 05:44:00,8718.75,8718.75,6
