variable,raw_adjusted,year_month,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
abs_r,raw,2019-12,1,7268,0.42656940830522316,0.4270995949679204,False,50.0,0.2973736126135428,0.4840625502315129
abs_r,raw,2020-01,1,29635,0.35468524540762747,0.3525319002623113,False,50.0,0.32294652224961123,0.38234040906334665
abs_r,raw,2020-02,1,27000,0.45123300769400215,0.4502742546707276,False,50.0,0.3668543473617572,0.4746251409009155
abs_r,raw,2020-03,1,25774,0.3236306352019697,0.32175710998936313,False,50.0,0.26404428075065584,0.3517254815524917
abs_r,raw,2020-04,1,28568,0.2420649094982336,0.241926066262692,False,50.0,0.21438927017978693,0.27274784030271076
abs_r,raw,2020-05,1,28359,0.27857092248785364,0.2786436881117086,False,50.0,0.23944910098801406,0.30918546983992895
abs_r,raw,2020-06,1,28528,0.31373026195050335,0.31302328143690783,False,50.0,0.2799545849341932,0.33998140856389364
abs_r,raw,2020-07,1,31070,0.38444085164953873,0.3841874187390423,False,50.0,0.3463179245277652,0.43071003434293204
abs_r,raw,2020-08,1,28581,0.3384878018663699,0.33850582800569684,False,50.0,0.2961135070889885,0.391386505280285
abs_r,raw,2020-09,1,28781,0.3209309673434984,0.3198225834230002,False,50.0,0.25443767245135446,0.36496973295205937
abs_r,raw,2020-10,1,29032,0.29390772729514436,0.29398392874133966,False,50.0,0.27056350275066354,0.30989454181479253
abs_r,raw,2020-11,1,28118,0.3666378666807404,0.36621536864089266,False,50.0,0.29894000469169374,0.4054777534578167
abs_r,raw,2020-12,1,28215,0.3876981676489431,0.3876109434731909,False,50.0,0.33279387431403845,0.414592788309648
abs_r,raw,2021-01,1,26998,0.38091255980229244,0.3806647743162299,False,50.0,0.3388369011726549,0.416612792533262
abs_r,raw,2021-02,1,26994,0.3960770970589651,0.39579061674484717,False,50.0,0.3598907563701014,0.43340748967880843
abs_r,raw,2021-03,1,30385,0.3220691613188906,0.3219194773044416,False,50.0,0.27893188625565796,0.35498812668648455
abs_r,raw,2021-04,1,29478,0.32118727178922896,0.3210943640486083,False,50.0,0.2744075556807877,0.3522079016943068
abs_r,raw,2021-05,1,28343,0.36200456805939607,0.3619129218247131,False,50.0,0.3328519838916097,0.3792258610988493
abs_r,raw,2021-06,1,28756,0.3488708561497657,0.34894868548287616,False,50.0,0.31133597499168375,0.37437085077400784
abs_r,raw,2021-07,1,30070,0.34005217268019944,0.34000423510596045,False,50.0,0.30678776770098865,0.36633533031940485
abs_r,raw,2021-08,1,30293,0.3945988053501607,0.39457001450506607,False,50.0,0.36648280157505453,0.4258383070082329
abs_r,raw,2021-09,1,28890,0.38352721294643866,0.38350410057995565,False,50.0,0.34584117356926564,0.41009705891348447
abs_r,raw,2021-10,1,28827,0.35655113387506143,0.35647914444986895,False,50.0,0.33221864470472656,0.37740279703524154
abs_r,raw,2021-11,1,29836,0.3789449243144907,0.3780102791784405,False,50.0,0.34993905891397625,0.39682039871356417
abs_r,raw,2021-12,1,29450,0.37116017585443756,0.3712077166647176,False,50.0,0.3446696871069986,0.39057085704182665
abs_r,raw,2022-01,1,28698,0.38231962088520866,0.38226148207918026,False,50.0,0.33251964347386065,0.4266784369518752
abs_r,raw,2022-02,1,27317,0.30378339298789103,0.30213548320886585,False,50.0,0.2736901367424655,0.332211025033987
abs_r,raw,2022-03,1,30807,0.31401225039777936,0.31398849524240224,False,50.0,0.2777136876658199,0.343023530769287
abs_r,raw,2022-04,1,27560,0.3493662061021556,0.3487508780111092,False,50.0,0.3263749515445023,0.3851244308099331
abs_r,raw,2022-05,1,30073,0.3681601351435921,0.3680969684768592,False,50.0,0.34257074028135126,0.4078505500754044
abs_r,raw,2022-06,1,29295,0.3251033630792035,0.32507876725139034,False,50.0,0.2873489633267974,0.3614740241095839
abs_r,raw,2022-07,1,28692,0.35071908800432416,0.3506896357939101,False,50.0,0.3233678316818226,0.3647434448734176
abs_r,raw,2022-08,1,31688,0.3413369286533851,0.34127524733425535,False,50.0,0.3122967941621944,0.3671469191519198
