lag,series,pacf
1,r_1m,0.005921100675958302
2,r_1m,-0.008480606548623655
3,r_1m,-0.0015168045609330696
4,r_1m,0.0038865463495831097
5,r_1m,-0.004553010736522735
6,r_1m,0.0012684278722912016
7,r_1m,-0.00013470530877088217
8,r_1m,0.00011885308105848289
9,r_1m,-0.0064708402617289
10,r_1m,0.0032885261909096734
11,r_1m,0.002495673681994383
12,r_1m,0.0011732307393847426
13,r_1m,-0.0018355451190049687
14,r_1m,-0.0007833856620231534
15,r_1m,0.0014725201914692542
16,r_1m,0.0001277353818010668
17,r_1m,-0.0006354049917709783
18,r_1m,0.0013176722530246934
19,r_1m,0.003123748484973482
20,r_1m,0.003031468694959682
21,r_1m,-0.0007703539772990588
22,r_1m,0.0015565907469325118
23,r_1m,-0.001871067553521528
24,r_1m,-9.436882433489844e-05
25,r_1m,0.0009213149412529105
26,r_1m,-0.0022281214832992136
27,r_1m,0.0010160802200426917
28,r_1m,0.001243936866153854
29,r_1m,-1.3992645002196745e-05
30,r_1m,-0.00038840293005465025
31,r_1m,-0.004787184637073642
32,r_1m,0.00020468485284184094
33,r_1m,-0.0007011953312242123
34,r_1m,-0.00043297787682119375
35,r_1m,-0.0011912165254241776
36,r_1m,0.0027471906912950685
37,r_1m,0.0023739764978316417
38,r_1m,0.0011401211226151919
39,r_1m,-0.001665515041318964
40,r_1m,0.005753355705213592
1,r_tilde,-0.0057140838148911155
2,r_tilde,-0.013364262283360753
3,r_tilde,-0.0005244455338663859
4,r_tilde,0.004172017321433481
5,r_tilde,-0.00592459396101362
6,r_tilde,0.0035402244332334767
7,r_tilde,-0.00021185655275171561
8,r_tilde,-0.0016743165226964975
9,r_tilde,-0.004112936023008798
10,r_tilde,0.0033618629891676655
11,r_tilde,0.00450961797507165
12,r_tilde,0.003606267287551192
13,r_tilde,-0.003352367209514403
14,r_tilde,-0.0022102377452564216
15,r_tilde,0.004750409466901142
16,r_tilde,0.000552622795180087
17,r_tilde,-0.0014343413080299076
18,r_tilde,0.002208104424315027
19,r_tilde,0.0022386698712178184
20,r_tilde,0.005617083718257825
21,r_tilde,0.0002147909598923313
22,r_tilde,0.004503293495113692
23,r_tilde,-0.0027413023984949017
24,r_tilde,-0.00014883763263967518
25,r_tilde,-0.0015751158812018068
26,r_tilde,-0.0005968211888704508
27,r_tilde,-8.441916059290087e-05
28,r_tilde,0.0009345448859325122
29,r_tilde,-0.000332382149386809
30,r_tilde,0.0017753935497310076
31,r_tilde,0.00045430477124149227
32,r_tilde,0.0001535871194921672
33,r_tilde,0.0033079219466623103
34,r_tilde,0.0027396721206751386
35,r_tilde,-0.0003446755453419731
36,r_tilde,0.0042835421043467235
37,r_tilde,0.0015167639918318078
38,r_tilde,0.0034858256016192363
39,r_tilde,0.0027287923776946805
40,r_tilde,0.003330729684357948
