variable,raw_adjusted,lag,rho,beta,n_pairs,estimable,bartlett_se
r,raw,1,0.005921100675958302,0.005915184560903213,1911434,True,0.0007227180676124741
r,raw,2,-0.00844524979014991,-0.008434130206968902,1908553,True,0.0007227434052541448
r,raw,3,-0.0016172860704395822,-0.001613494695387972,1905799,True,0.0007227949474835859
r,raw,4,0.003939048311167655,0.003927843558456291,1903157,True,0.0007227968376317123
r,raw,5,-0.0044792849066290245,-0.004464297855076278,1900601,True,0.0007228080500896383
r,raw,6,0.0011507224440538155,0.001146742462003572,1898109,True,0.0007228225487494905
r,raw,7,-5.647304569985375e-05,-5.6259126624429574e-05,1895659,True,0.0007228235056064326
r,raw,8,0.00012714982352720404,0.0001266382760246247,1893253,True,0.0007228235079109923
r,raw,9,-0.0065062154276502495,-0.006479862797236516,1890880,True,0.000722823519593527
r,raw,10,0.003238380747821849,0.0032246657735760928,1888548,True,0.0007228541077453994
r,raw,11,0.002631683505937929,0.0026203712423880543,1886238,True,0.0007228616855030594
r,raw,12,0.0011730687232214643,0.0011679336106843582,1883955,True,0.0007228666898617647
r,raw,13,-0.0019272497458740676,-0.0019192414230583515,1881700,True,0.0007228676841818767
r,raw,14,-0.0007494129494471784,-0.0007466139141726925,1879471,True,0.0007228703680069254
r,raw,15,0.0014659953816483925,0.0014618364332414518,1877263,True,0.0007228707738140487
r,raw,16,0.00015988064159146615,0.00015957475598414746,1875074,True,0.0007228723267083476
r,raw,17,-0.0006777355914998976,-0.0006765401059578263,1872908,True,0.0007228723451783938
r,raw,18,0.0013585623574941732,0.0013569772558833253,1870754,True,0.0007228726770703301
r,raw,19,0.0031217691144238367,0.0031186470790322087,1868620,True,0.0007228740106985233
r,raw,20,0.0030122758082680497,0.0030103210876463813,1866492,True,0.0007228810523521219
r,raw,21,-0.0007926567557846372,-0.0007930518898144808,1864375,True,0.0007228876086470412
r,raw,22,0.001540561347986496,0.0015417735817732253,1862266,True,0.0007228880626275822
r,raw,23,-0.0018337107747353882,-0.0018357044673587032,1860165,True,0.0007228897774701306
r,raw,24,-0.00017336338497175378,-0.0001736200449892001,1858073,True,0.0007228922070248486
r,raw,25,0.0009187676595411489,0.0009218096608160811,1855990,True,0.0007228922287408086
r,raw,26,-0.00216375973136889,-0.0021715626727826366,1853916,True,0.0007228928386644734
r,raw,27,0.0009297758184395072,0.0009334581409265832,1851849,True,0.000722896221500551
r,raw,28,0.0012702741648852724,0.0012755574561639988,1849790,True,0.0007228968461238437
r,raw,29,-2.138655865060012e-05,-2.1483879936141378e-05,1847740,True,0.0007228980120098096
r,raw,30,-0.00038417703786273094,-0.00038625862890303073,1846051,True,0.0007228980123402876
r,raw,31,-0.004771379917343097,-0.004798930521573433,1844372,True,0.0007228981189811304
r,raw,32,0.00017100138600331468,0.00017200581801349324,1842701,True,0.0007229145681433988
r,raw,33,-0.0006418547783123957,-0.0006460166542204285,1841036,True,0.0007229145892709957
r,raw,34,-0.0004399810332140286,-0.00044293879984732296,1839377,True,0.0007229148869336173
r,raw,35,-0.0011863637090510572,-0.0011951660266363699,1837726,True,0.0007229150268016687
r,raw,36,0.002763882762573241,0.002784726899206255,1836086,True,0.0007229160437197574
