family,param,input_series,scope,scope_value,n,kurt_r,kurt_z,fraction_removed,kurt_r_trimmed,kurt_z_trimmed,fraction_removed_trimmed
rolling_std,30.0,raw,GLOBAL,GLOBAL,1914454,111.55965824329571,85.51352549166404,0.23347268324207993,11.488263188768562,2.3104493325935085,0.798886107096475
rolling_std,30.0,raw,YEAR,2019,7376,32.97157352675235,7.741237613670309,0.7652147960912677,10.631785642831442,3.641056865828788,0.6575310123672595
rolling_std,30.0,raw,YEAR,2020,342602,44.371692837316225,107.96836762887385,-1.4332713206306464,12.703076703175956,2.8120461848785077,0.7786326690308455
rolling_std,30.0,raw,YEAR,2021,349039,24.022583472900223,24.280080760467413,-0.010718967335785257,8.75258381409433,2.3695819680137618,0.7292705767412347
rolling_std,30.0,raw,YEAR,2022,349996,130.76252311280814,135.30517825697456,-0.03473973303686928,6.906982050777355,2.3055223764462465,0.6662040874730855
rolling_std,30.0,raw,YEAR,2023,349636,53.795167913597034,98.77597257585305,-0.836149535484336,7.876129428476881,2.003769041992773,0.7455896249307485
rolling_std,30.0,raw,YEAR,2024,352261,54.18265280512187,40.19029245875056,0.2582442834000297,8.447466411629483,2.015131527921243,0.7614513713665619
rolling_std,30.0,raw,YEAR,2025,163544,138.7665219751117,119.08036359413012,0.1418653296254867,13.098322493149986,2.4920903224492594,0.8097397339428354
rolling_std,120.0,raw,GLOBAL,GLOBAL,1914410,111.54891443168565,156.33098045355328,-0.4014567622645302,11.490183773750372,2.898792069339266,0.7477157784054218
rolling_std,120.0,raw,YEAR,2019,7286,32.592019569332294,11.536905229400519,0.6460205479179248,10.491163724514129,4.917839427830995,0.5312398550849274
rolling_std,120.0,raw,YEAR,2020,342648,44.36892468153314,9.657682461079036,0.7823322848052101,12.706382826236513,3.1828552958388956,0.7495073665444077
rolling_std,120.0,raw,YEAR,2021,349039,24.022583472900223,21.845862123952628,0.09061145947949956,8.75258381409433,3.2375693534113505,0.6301013024065103
rolling_std,120.0,raw,YEAR,2022,349996,130.76252311280814,364.69254850268175,-1.7889684278121751,6.906982050777355,2.8626007101148607,0.5855497105580743
rolling_std,120.0,raw,YEAR,2023,349636,53.795167913597034,182.19772772350885,-2.386879059772529,7.876129428476881,2.5488402147800304,0.6763841633220931
rolling_std,120.0,raw,YEAR,2024,352261,54.18265280512187,101.2758421645904,-0.8691562136842592,8.447466411629483,2.623513620883541,0.6894318967315698
rolling_std,120.0,raw,YEAR,2025,163544,138.7665219751117,261.76292340592124,-0.8863550060933965,13.098322493149986,3.037375769383628,0.7681095597568253
rolling_std,390.0,raw,GLOBAL,GLOBAL,1914140,111.53331425319705,178.66307014416398,-0.6018807594883488,11.488221856362202,4.33944285329478,0.6222702775459035
rolling_std,390.0,raw,YEAR,2019,7016,31.711704382126157,16.27551478857295,0.48676631844025364,10.17729852655142,7.134517648336862,0.2989772649663648
