order,n_eff,LM,R2,estimable,n_perm,null_p50,null_p975,percentile_of_real,exceeds_calibration_threshold,series
1,1911434,43711.26428282015,0.022868309490581495,True,60,136.806572144175,321.1849633839049,100.0,True,r_1m
5,1900601,92638.81009535084,0.04874185065426717,True,60,572.0015437319037,775.1793554681637,100.0,True,r_1m
20,1866492,123041.05757275345,0.0659210205951879,True,60,1541.988450313488,1817.7918642975949,100.0,True,r_1m
1,1911434,163540.30248392792,0.08555895860590945,True,60,2.176842371121647,21.61055154858361,100.0,True,r_tilde
5,1900601,282220.0513348235,0.14848989942382618,True,60,19.453236338169347,64.38712024315642,100.0,True,r_tilde
20,1866492,339125.800014858,0.1816915368589086,True,60,80.84678050218511,191.21446557573327,100.0,True,r_tilde
