source_file,contract,ratio_factor,diff_factor,basis_chain
00_mnq_03_20.Last.txt,H20,,,False
01_mnq_06_20.Last.txt,M20,,,False
02_mnq_09_20.Last.txt,U20,,,False
03_mnq_12_20.Last.txt,Z20,,,False
04_mnq_03_21.Last.txt,H21,,,False
05_mnq_06_21.Last.txt,M21,,,False
06_mnq_09_21.Last.txt,U21,,,False
07_mnq_12_21.Last.txt,Z21,,,False
08_mnq_03_22.Last.txt,H22,,,False
09_mnq_06_22.Last.txt,M22,,,False
10_mnq_09_22.Last.txt,U22,,,False
11_mnq_12_22.Last.txt,Z22,,,False
12_mnq_03_23.Last.txt,H23,,,False
13_mnq_06_23.Last.txt,M23,,,False
14_mnq_09_23.Last.txt,U23,,,False
15_mnq_12_23.Last.txt,Z23,,,False
16_mnq_03_24.Last.txt,H24,,,False
17_mnq_06_24.Last.txt,M24,,,False
18_mnq_09_24.Last.txt,U24,,,False
19_mnq_12_24.Last.txt,Z24,1.024190211842203,503.13652483946566,True
20_mnq_03_25.Last.txt,H25,1.0104648565169894,204.9822463768116,True
21_mnq_06_25.Last.txt,M25,1.0,0.0,True
