20210621 030100;14009.75;14010.25;14006.25;14007;140
20210621 030200;14007;14007.5;14006;14006.5;47
20210621 030300;14006.5;14006.75;13998.5;14000.75;305
20210621 030400;14000.5;14002.25;13999.75;14000;239
20210621 030500;14000.25;14003;13999;14000.5;130
20210621 030600;14000.25;14000.25;13991.5;13992.75;703
20210621 030700;13993;13995.5;13992.75;13994;226
20210621 030800;13993.75;13997.75;13992.5;13995.75;241
20210621 030900;13996;13997;13991.5;13995.25;236
20210621 031000;13995.5;13995.5;13991.5;13991.5;118
20210621 031100;13992;13995.75;13991.5;13993;255
20210621 031200;13993.25;13994.25;13990.25;13990.5;358
20210621 031300;13990;13994.75;13990;13992.5;176
20210621 031400;13993;13993;13985.75;13987.5;541
20210621 031500;13987.5;13989.75;13985;13988.5;258
20210621 031600;13988;13989.5;13986.5;13986.5;166
20210621 031700;13987;13988;13985;13985.25;180
20210621 031800;13985.25;13986.25;13983.75;13984.25;328
20210621 031900;13984;13988.25;13983.75;13987;192
20210621 032000;13987.25;13989.5;13986.25;13987.5;184
20210621 032100;13987.25;13992.5;13987;13991.5;311
20210621 032200;13991.75;13994;13990.25;13992;251
20210621 032300;13992;13993.75;13990.25;13993.25;145
20210621 032400;13992.75;13994;13992;13993;80
20210621 032500;13993.25;13995;13991.5;13994.5;132
20210621 032600;13994.5;13995;13992.5;13994.5;100
20210621 032700;13994.75;13998.5;13993.25;13993.25;207
20210621 032800;13992.75;13995;13990.75;13994.25;144
20210621 032900;13993.75;13999.5;13993.75;13997;181
20210621 033000;13997;14006;13996.25;14005;405
20210621 033100;14005.25;14005.75;13998.75;14000;257
20210621 033200;13999.5;14002;13993.5;13995.5;269
20210621 033300;13996.25;13999.75;13994.5;13997.25;205
20210621 033400;13997.5;13999.75;13995.75;13998;99
20210621 033500;13997.75;14000;13996.75;13999.5;139
20210621 033600;13999.5;14002;13997;13997.75;181
20210621 033700;13998;13998.5;13995;13997.25;136
20210621 033800;13997.5;13998.5;13996;13997.5;66
20210621 033900;13997;13997.25;13991;13995.75;276
20210621 034000;13996;13998.5;13995.75;13996.5;138
20210621 034100;13996.25;13998.25;13995;13996.5;113
20210621 034200;13996.5;13999.75;13995.25;13997.25;86
20210621 034300;13997.5;13999;13995.25;13997.5;111
20210621 034400;13997.25;13997.25;13993.25;13995;81
20210621 034500;13995.25;13997.75;13995.25;13997.25;50
20210621 034600;13996.75;13996.75;13994.25;13996.75;71
20210621 034700;13996.5;13997.25;13996.25;13996.75;41
20210621 034800;13996.25;13998;13995.75;13996.75;58
20210621 034900;13996.75;13997.25;13996;13997;77
20210621 035000;13997;13997.5;13996;13996;60
20210621 035100;13996;13997.5;13995.5;13997.25;39
20210621 035200;13997.25;13997.75;13994.75;13996.5;53
20210621 035300;13996.5;13998.75;13993.75;13998;160
20210621 035400;13998.25;13999.75;13997.25;13998.25;126
20210621 035500;13998.25;14000.5;13998;13999.25;60
20210621 035600;13999.5;14002;13999.25;14002;116
20210621 035700;14002;14005.5;14001.5;14003.5;202
20210621 035800;14003.75;14004.75;14002.75;14004;110
20210621 035900;14004.25;14005.5;14004.25;14005;79
20210621 040000;14005;14005.5;14001.75;14002.25;134
20210621 040100;14003;14003.75;13997.75;13997.75;202
20210621 040200;13998;14001.5;13998;13998.75;140
20210621 040300;13998.25;13999;13997.25;13998.5;109
20210621 040400;13998.25;14000.5;13997.25;13999.75;102
20210621 040500;13999.5;14003.5;13999.25;14002.25;144
20210621 040600;14001.5;14004;14000;14004;79
20210621 040700;14004;14005;14002.25;14004.25;121
20210621 040800;14004.5;14008.75;14004.25;14007.5;318
20210621 040900;14006.5;14010.25;14005.75;14008.25;276
20210621 041000;14008;14011.5;14007;14008.5;258
20210621 041100;14008;14011.25;14007.5;14009;230
20210621 041200;14008.75;14008.75;14007.25;14008;105
20210621 041300;14008.5;14009.25;14006.25;14007;62
20210621 041400;14006.75;14008.25;14006.75;14007.75;44
20210621 041500;14007.75;14008.5;14006;14006;75
20210621 041600;14006;14007.25;14003.25;14005;157
20210621 041700;14005;14005;14001.75;14004.5;136
20210621 041800;14004.5;14005;14002.5;14004;119
20210621 041900;14003.75;14004;14002.25;14003;57
20210621 042000;14002.75;14003.75;14001.75;14002.25;76
20210621 042100;14002;14002.25;14001;14002.25;52
20210621 042200;14003;14003.25;14000.75;14002.5;80
20210621 042300;14002.75;14004.25;14001.75;14003;74
20210621 042400;14002.75;14003;14001.25;14002.25;51
20210621 042500;14002.5;14002.75;14001.25;14002;87
20210621 042600;14001.5;14001.5;13998.25;13998.25;182
20210621 042700;13998.25;13998.75;13997;13997.75;141
20210621 042800;13997.75;13999.5;13997.25;13998.75;91
20210621 042900;13999.25;13999.25;13997;13998.75;52
20210621 043000;13998.75;14000;13998.75;14000;59
20210621 043100;13999.75;14000.25;13997.75;14000;48
20210621 043200;14000;14002.25;13999;14001;130
20210621 043300;14000.5;14006;13999;14005.5;262
20210621 043400;14006;14006;14002;14002;109
20210621 043500;14001.75;14002.25;14000.75;14002;78
20210621 043600;14002;14002;13998.5;13999.25;126
20210621 043700;13999;13999;13993.5;13994.5;242
20210621 043800;13994;13998.5;13994;13996;160
20210621 043900;13996;13996;13992.5;13994.25;128
20210621 044000;13993.75;13996.25;13992;13995.5;124
20210621 044100;13994.5;13997.75;13994.5;13997;92
20210621 044200;13997.25;14001.5;13997;13999;243
20210621 044300;13999.25;14001.25;13998.25;13999.75;94
20210621 044400;14000;14002.25;13999.75;14002.25;75
20210621 044500;14002.5;14003.25;13998.5;13999.5;132
20210621 044600;13999.5;14000.5;13998.25;13999.5;88
20210621 044700;13999.5;14001.25;13999.25;14000.25;65
20210621 044800;13999.5;14001;13999.5;14000.5;37
20210621 044900;14000.75;14001.5;13999.5;13999.5;31
20210621 045000;14000;14000;13997.25;13999;91
20210621 045100;13999.5;14000.5;13996.75;13999.5;90
20210621 045200;13999;13999;13997;13998.5;70
20210621 045300;13998;13998.75;13995.25;13998.25;139
20210621 045400;13998;13998;13994;13996;155
20210621 045500;13996.5;13998;13996.25;13996.5;41
20210621 045600;13997;13998.5;13996;13996;76
20210621 045700;13996;13998.75;13995.25;13998;89
20210621 045800;13998.25;14001;13998;14000.75;104
20210621 045900;14000.75;14001.5;13998.75;13999.5;66
20210621 050000;13999.75;14001;13999.25;14001;43
20210621 050100;14000.75;14002;13998.5;13999.75;86
20210621 050200;14000;14001;13997.75;14000.5;188
20210621 050300;14000.25;14001.5;13999.25;14001;41
20210621 050400;14001;14002.75;13999.25;14001.75;108
20210621 050500;14002.25;14002.25;13999.75;14000.5;42
20210621 050600;14000;14001.5;13999.5;14000.25;49
20210621 050700;14001.25;14001.5;13999;13999.5;38
20210621 050800;13999.5;13999.75;13997.25;13998.5;88
20210621 050900;13998.5;13999.25;13996.5;13998.25;77
20210621 051000;13998.25;13999.25;13995.25;13996.25;72
20210621 051100;13996.75;13997.25;13994.25;13994.25;94
20210621 051200;13994.75;14000;13994.75;13998.25;92
20210621 051300;13998.25;13999.5;13997.25;13998.5;90
20210621 051400;13998;13998;13996;13997.25;27
20210621 051500;13997;13997.5;13994.75;13996.25;43
20210621 051600;13996.25;13996.5;13995.5;13996;45
20210621 051700;13995.75;13996.5;13995;13995;67
20210621 051800;13995.25;13996;13994.25;13995;108
20210621 051900;13995;13995;13992.25;13993;171
20210621 052000;13993.5;13994.5;13993;13994;43
20210621 052100;13994;13994;13991.75;13992.75;183
20210621 052200;13992.75;13993.5;13992;13993.25;68
20210621 052300;13994;13997;13993.5;13996.5;126
20210621 052400;13996.75;13997.75;13995.5;13997.75;88
20210621 052500;13997.75;13999;13996.75;13998.75;81
20210621 052600;13999;13999.25;13997.5;13997.75;72
20210621 052700;13998.25;14005;13998.25;14004;301
20210621 052800;14003.75;14006;14003.5;14003.5;173
20210621 052900;14003.25;14004;14002.5;14002.75;58
20210621 053000;14002;14002.5;14000.25;14000.5;120
20210621 053100;14001;14003.5;13998;14003.5;250
20210621 053200;14003.75;14003.75;14000.5;14003;133
20210621 053300;14003;14009;14003;14009;276
20210621 053400;14008.75;14008.75;14005.25;14006.25;133
20210621 053500;14006.5;14006.5;14003;14005.75;72
20210621 053600;14006;14007.5;14004.25;14007;119
20210621 053700;14007.5;14008.75;14005.75;14005.75;81
20210621 053800;14006;14009.75;14006;14009.25;107
20210621 053900;14009.75;14010;14007;14007;98
20210621 054000;14006.75;14007.5;14002.25;14002.25;132
20210621 054100;14002;14003;14001;14002.5;63
20210621 054200;14002.25;14005.5;14001.75;14004;64
20210621 054300;14004.5;14005.5;14003.25;14005.25;56
20210621 054400;14005;14005;14003.5;14003.75;71
20210621 054500;14003.5;14006.75;14003.25;14006.25;77
20210621 054600;14006;14006.25;14003.75;14005.5;93
20210621 054700;14005;14007.5;14004;14006;53
20210621 054800;14006;14010;14006;14008.25;129
20210621 054900;14008.75;14010.25;14008.25;14009.75;120
20210621 055000;14008.5;14009;14007;14007.25;54
20210621 055100;14007.5;14007.75;14006.25;14006.25;48
20210621 055200;14006;14007.25;14005.75;14006.5;35
20210621 055300;14006.25;14007.25;14005;14005.75;118
20210621 055400;14005.75;14008.75;14005.5;14008.25;74
20210621 055500;14008.25;14009;14004;14004.75;128
20210621 055600;14004.5;14007;14003.5;14005;109
20210621 055700;14005.75;14008;14005.75;14008;87
20210621 055800;14008.25;14008.5;14006.5;14006.75;61
20210621 055900;14007.5;14009.25;14007.25;14007.5;89
20210621 060000;14007.75;14009.75;14007;14008.25;84
20210621 060100;14008.25;14014.75;14005.75;14013.5;455
20210621 060200;14013.5;14021.75;14009.75;14009.75;941
20210621 060300;14009.25;14010.25;14006.25;14008.5;391
20210621 060400;14008.25;14010.25;14005.5;14008.75;251
20210621 060500;14008.25;14008.25;14004.75;14005;152
20210621 060600;14005;14012.75;14004.25;14012.25;258
20210621 060700;14012.25;14017.5;14011.25;14017.25;313
20210621 060800;14017.75;14018;14012.25;14015.75;240
20210621 060900;14016;14018.25;14013.5;14014;186
20210621 061000;14013.5;14020.5;14012.75;14019;389
20210621 061100;14018.75;14028.25;14018;14027;781
20210621 061200;14026.5;14027.75;14023.75;14027.25;233
20210621 061300;14027.5;14029;14024.25;14028;318
20210621 061400;14028;14038.25;14028;14035.75;925
20210621 061500;14036.25;14036.25;14031.75;14034.25;360
20210621 061600;14034.5;14039;14030.25;14031;497
20210621 061700;14031.25;14034.5;14031;14033.75;168
20210621 061800;14033;14036;14030.75;14034.5;276
20210621 061900;14034.75;14036.5;14033.25;14033.75;182
20210621 062000;14034.5;14037.5;14032.25;14037.5;284
20210621 062100;14037.5;14045;14037;14043;831
20210621 062200;14043;14043.75;14040.5;14041.75;356
20210621 062300;14042.25;14042.75;14037.25;14038.25;227
20210621 062400;14038.75;14044.25;14038.75;14043.75;311
